,AAPL.O mean ret,MSFT.O mean ret,INTC.O mean ret,AMZN.O mean ret,GS.N mean ret,AAPL.O ret,MSFT.O ret,INTC.O ret,AMZN.O ret,GS.N ret,AAPL.O improvs,MSFT.O improvs,INTC.O improvs,AMZN.O improvs,GS.N improvs,AAPL.O falses,MSFT.O falses,INTC.O falses,AMZN.O falses,GS.N falses,AAPL.O falses,MSFT.O falses,INTC.O falses,AMZN.O falses,GS.N falses,AAPL.O f1 mean,MSFT.O f1 mean,INTC.O f1 mean,AMZN.O f1 mean,GS.N f1 mean,AAPL.O f1 std,MSFT.O f1 std,INTC.O f1 std,AMZN.O f1 std,GS.N f1 std
ma_feat ,-0.17067860517955086,-0.20282497984480596,-0.068370348101871,-0.11190122560797619,-0.011509899410839424,0.4428944704062165,0.3441071316155317,0.2765713089023307,0.373906160833193,0.3485182012033618,355.0,268.0,397.0,391.0,474.0,189.94505494505495,193.84515484515484,188.47352647352648,182.86113886113887,189.91508491508492,9.696905590031188,9.445898527985518,9.772489368198276,9.358081977718479,9.533403496012431,0.6029191347531834,0.6136514407461101,0.6578861005743925,0.6828846569126542,0.6329153349530409,0.02745066724607287,0.02633324145773369,0.025969771615668043,0.022632916334539628,0.025476061358350087
sma_feat ,-0.1683062524705434,-0.197446861862981,-0.049525194268082016,-0.12213054394618976,-0.03377150769521689,0.43931150847107314,0.3330280015635445,0.26713853987810826,0.36686086254033573,0.3450531626852517,339.0,245.0,406.0,352.0,444.0,189.982017982018,193.89710289710288,188.54645354645353,183.87012987012986,190.67432567432567,9.827190662833216,9.386074877093272,9.334135734501064,9.123218559429384,9.068507604332169,0.6033110338673479,0.6127655317270871,0.6572634244020367,0.6800803017611468,0.630474422429221,0.02758323553692736,0.027212086434015906,0.0248568919200099,0.022309629076432476,0.02530941826317136
lag_feat ,-0.1502178800059229,-0.1959731969619652,-0.038694406974046205,-0.11961865673276556,-0.007856032338616238,0.44937181387130953,0.35005624987387934,0.2784412588538556,0.35549610246699387,0.35650899076577136,360.0,276.0,431.0,366.0,489.0,189.23876123876124,193.82417582417582,187.96903096903097,182.5884115884116,190.11688311688312,9.369948562502138,9.792602051807014,9.640022819477135,9.269758657830607,9.407514266549091,0.6037170470493117,0.6127939573027077,0.6591153250151495,0.6833572184306081,0.6319592615155981,0.026654572244840948,0.02795040679623673,0.02600956784823333,0.02242888696557355,0.025697533713861416
rsi_feat ,-0.1603580573518863,-0.1925355918279033,-0.05272719632251357,-0.11342991349684746,-0.022582655520823208,0.45450936038813117,0.3484230387196356,0.26157214636090587,0.3807680474212929,0.3343553388473564,357.0,281.0,418.0,371.0,471.0,189.7032967032967,193.5994005994006,187.996003996004,183.36863136863136,190.0949050949051,9.883161393040147,9.685678068176726,9.499999158735958,9.304245000266011,9.686484605675275,0.6024344027672187,0.6130727777427257,0.6583831159965552,0.6810778264771905,0.6314494611890981,0.028358177281896258,0.027978673245796004,0.026375558709786882,0.0229370920508329,0.026947482125101355
MACD_feat,-0.17605148429359366,-0.18946894628441555,-0.07040269447091076,-0.12384801425329389,-0.017944900684738144,0.4542796624615107,0.3593290763746795,0.29132762617280855,0.3604524502321133,0.35280915700564663,345.0,277.0,393.0,368.0,461.0,189.46053946053945,193.37562437562437,187.85214785214785,182.97002997002997,189.82117882117882,9.471361639631935,9.795752407792133,9.286232706653314,9.381316586657803,9.63457269467574,0.6039712985378022,0.6142463909857769,0.6598079546139246,0.6824816928694601,0.63327344189383,0.02785005405185816,0.02830388644508846,0.02544658906285212,0.023115522280259315,0.026958510799296058
ma_feat sma_feat ,-0.1859413813505755,-0.1831512756848829,-0.05392014269240131,-0.12635249631549378,-0.021980290002820223,0.44634797972549534,0.3640403627732257,0.27954634558343255,0.36424935517323914,0.3337610676207848,325.0,299.0,407.0,369.0,458.0,189.97002997002997,193.31968031968032,187.95404595404597,183.4265734265734,190.4955044955045,9.950834181067485,9.50787580365364,9.65276572355748,8.841541333209554,9.025310508244566,0.601641563867878,0.6136882018469453,0.6585354818033994,0.6811471592963421,0.6307392407610145,0.028156350324208212,0.026856178780615886,0.026002865067527612,0.022061397686024654,0.024805649615094325
ma_feat lag_feat ,-0.1517458842339938,-0.19545240628012736,-0.053095628587324376,-0.10816785610716778,-0.0021160341840541705,0.4373190237140477,0.35486194504072816,0.27772528626023846,0.3614419992376482,0.353898905444427,348.0,282.0,444.0,376.0,492.0,189.26173826173826,193.3876123876124,187.55544455544455,183.06993006993008,189.76323676323676,9.478155125098159,9.339893275279243,9.645474214737842,8.987052069232988,9.431271765402954,0.604341422679815,0.614663742035678,0.6603103365180932,0.6824486485699085,0.6335923045656,0.02670391299191457,0.027293088559878616,0.025890459223501874,0.02155856600327753,0.024885311740345403
ma_feat rsi_feat ,-0.17524330655775586,-0.20394057024472773,-0.05839392886565283,-0.0993121488848143,-0.03305339053106443,0.4349076398751044,0.34440609669576133,0.27746579480851674,0.35448151999591804,0.33133511722401293,330.0,269.0,415.0,388.0,442.0,189.37562437562437,194.10189810189812,188.26973026973027,183.35064935064935,190.13386613386612,9.677745875707071,9.86263688845971,9.4433666045099,9.028838357060227,9.379981979623526,0.6047687717385861,0.6128890359431252,0.6579768145798868,0.6814765797445318,0.6317471261063089,0.027441494982856567,0.0277904429154818,0.025759041801889072,0.022235658210028438,0.025919834280210805
ma_feat MACD_feat,-0.1581798245734818,-0.1911213440796144,-0.056793788872469456,-0.12395076004309132,-0.026883388375608618,0.43083647859877733,0.36391877170364306,0.28465678155184915,0.37063539154214276,0.3365139646932321,342.0,302.0,422.0,351.0,446.0,190.0,193.7762237762238,188.26373626373626,183.21478521478522,190.11888111888112,9.57653381970742,9.735495576799064,9.919696246678807,9.012259493535522,9.12473852484844,0.6022298601499195,0.6126811413353865,0.6576598464577288,0.6814161632238321,0.6318444831275071,0.027276637493160998,0.028019896376825712,0.02716906773744833,0.022236866510852885,0.02547240714479859
sma_feat lag_feat ,-0.1815583610616608,-0.19537407356619862,-0.060526338488260216,-0.1458296306979136,-0.01933101873956724,0.43934152434148804,0.3230547645251632,0.2640561685949587,0.3737431262230667,0.3467406251941192,331.0,275.0,405.0,339.0,453.0,189.55744255744256,193.82117882117882,188.26373626373626,183.36463536463538,190.1838161838162,9.576061145008802,9.581492107651673,9.74763425793016,8.920084533899225,9.943650125692164,0.6044358222543588,0.6137463256216878,0.6590147806627668,0.6818727018850352,0.6322389233801667,0.027346656043437376,0.027222127040480066,0.025847608228671153,0.021443111933991014,0.026331387120584537
sma_feat rsi_feat ,-0.1740695626222542,-0.18165529818317444,-0.07353618294183373,-0.1130325211908561,-0.01207470560226444,0.43799244855108194,0.3541741332249035,0.2759785042910525,0.3540871720126161,0.3550463651181338,349.0,302.0,394.0,361.0,465.0,189.62837162837164,193.25674325674325,188.55544455544455,182.3906093906094,190.11888111888112,9.458210943183392,9.377367273548431,9.419722545126932,9.062575336419098,9.33406948478815,0.6032551919745736,0.6145336672028869,0.6584864720860066,0.6838067373830016,0.6329087313875114,0.026995840447468694,0.026989735011983727,0.0253968761087997,0.022324142257538565,0.025348210896152693
sma_feat MACD_feat,-0.18713462414001114,-0.19274421512491147,-0.07619186762795187,-0.108282401289587,-0.023469727804806922,0.44489088773922225,0.35175762206838596,0.265906384813885,0.35585934313733747,0.36229609499558957,324.0,284.0,380.0,384.0,468.0,189.2977022977023,193.74825174825176,188.27072927072928,182.58641358641358,189.83916083916083,9.621293297435878,9.198399830435696,9.35241318418045,9.325705079229937,9.218302712273276,0.6051425324264054,0.6136219747527945,0.6591491680186283,0.6835220102618553,0.6329075863724895,0.026871388996181418,0.025861241957576026,0.024920495069486636,0.02262660356877794,0.026395739781277076
lag_feat rsi_feat ,-0.16401520588422974,-0.18878140484804118,-0.04409541732896454,-0.12295142978547628,-0.007561080891519407,0.4344506101901452,0.338638446190268,0.26518352535714806,0.375579450139517,0.3555132043744516,339.0,256.0,420.0,368.0,467.0,189.1138861138861,193.53446553446554,187.56943056943058,182.83116883116884,189.9270729270729,9.857840381291265,9.387281871716688,9.472350530645718,9.40778760030579,9.448580651276446,0.6047742168636192,0.6136789847862976,0.6596426666468909,0.682689107496619,0.6327065695322305,0.02795217262273419,0.026846537431933614,0.02580416731356867,0.022863722624727172,0.025479077591206906
lag_feat MACD_feat,-0.15286575429778756,-0.19751609962962666,-0.06683685844544826,-0.1255930264936632,-0.03010461284906898,0.4184132136289534,0.3417590022595741,0.2779975360204358,0.3536147201762774,0.3432361707885176,352.0,272.0,401.0,362.0,446.0,188.982017982018,193.72827172827172,188.55544455544455,183.4095904095904,189.96503496503496,9.418687611534661,9.6502896283008,9.878115854107637,9.234829068914486,9.485134486330496,0.6051065632360881,0.6135725827260416,0.6579875258692333,0.6811356678360299,0.6323976609688444,0.026593758473979313,0.027298284148404465,0.026317769096913923,0.022536824607933867,0.02536174436283386
rsi_feat MACD_feat,-0.17879115510746008,-0.19459911098442745,-0.05566491862993097,-0.13736087806805877,-0.030161300504183464,0.4443185766565381,0.34288475494589793,0.2704368495394729,0.3784078577535963,0.3480868796482551,335.0,276.0,419.0,357.0,433.0,189.82817182817183,193.71028971028971,188.14985014985015,182.9040959040959,190.14285714285714,9.61137063869901,9.75797028156901,9.687802768302136,9.08189370157971,9.574161656697227,0.6038019839596847,0.6140175692169983,0.6586160312775123,0.6827112364267963,0.6323311230179745,0.027127409162265775,0.02705863041335379,0.026056110604827414,0.021951825931840408,0.025274415430016503
ma_feat sma_feat lag_feat ,-0.16331631009088837,-0.1786924875998909,-0.05743445733860165,-0.12149727757177435,-0.008054620620988152,0.43779452359042614,0.35827372677871255,0.26522950021596603,0.3726978705812453,0.33999018286353333,339.0,276.0,416.0,375.0,482.0,189.5034965034965,193.6863136863137,188.23076923076923,183.57242757242759,189.85814185814186,9.670172581822813,9.620784921070761,9.784257371292542,8.785157881392868,9.060124510394775,0.6041327557150963,0.6133400992245137,0.658461601288738,0.6813576032966463,0.6329084949937794,0.027581928258147464,0.02712632101877034,0.02545377576491566,0.021286502086510777,0.024603340047275737
ma_feat sma_feat rsi_feat ,-0.16155379876129378,-0.1928799819778162,-0.05888960021455879,-0.14023075932835802,-0.019683263646204874,0.4341874592682875,0.3506175051114637,0.26690934263563465,0.37767296423241703,0.3447343766907877,341.0,290.0,400.0,346.0,449.0,189.73926073926074,193.8161838161838,188.46353646353646,183.7012987012987,189.5904095904096,9.634777997076375,9.687733368656353,9.697675962874767,9.10251000063655,9.101542063412545,0.6033900305538831,0.6140288436534866,0.6579790167537224,0.6809337499072291,0.633165420812622,0.02828619742648151,0.027522185875622208,0.02625966124695044,0.022212321930476935,0.025526495994522808
ma_feat sma_feat MACD_feat,-0.1636336150445599,-0.19524090089090423,-0.05340861094532682,-0.1281610851365143,-0.032778668490578484,0.42824788006176767,0.3402920550221611,0.2825293677070399,0.3568961100851697,0.35371729006975905,347.0,270.0,428.0,351.0,449.0,189.3116883116883,194.21378621378622,187.69230769230768,183.43256743256742,190.51048951048952,9.418638608989802,9.473027485986199,9.790262037822627,9.122044633836122,9.091872186746794,0.6040643031287231,0.611542639375022,0.6595001449107384,0.6811010775212103,0.6310394853588094,0.026155055795674363,0.026390876664908063,0.02621988749560954,0.022617712154481454,0.02494303389171409
ma_feat lag_feat rsi_feat ,-0.14869222459696357,-0.17875000689370357,-0.053705509414205745,-0.1304043589842388,-0.010590793812189083,0.45103001359258976,0.3532796538634238,0.27483878277311397,0.39798582801076715,0.3664770249445186,350.0,299.0,425.0,377.0,496.0,189.13286713286712,193.63036963036964,188.38361638361638,183.05594405594405,190.15184815184816,9.501964463800558,9.465898624179149,9.298531674877019,9.069887933864848,9.57522423136498,0.6051980621917288,0.6135377319055629,0.6580459306910524,0.6821863163947856,0.6321617836130438,0.027553587682670317,0.026197608315723733,0.025085969086650343,0.02192823821189603,0.026051029443704368
ma_feat lag_feat MACD_feat,-0.15230161269174097,-0.18932588316227714,-0.05881969747196104,-0.12288606133221272,-0.0176413888099759,0.44688611931429245,0.3534207085692135,0.27770930609936,0.34432774397731414,0.3319366428755056,376.0,287.0,400.0,354.0,452.0,189.4975024975025,193.53146853146853,188.53746253746255,183.3846153846154,190.11888111888112,9.407137915234566,9.514371168987397,9.565189237795833,8.919244535100672,9.348414472350553,0.603844963265605,0.613097950735767,0.6577166291041633,0.6812263677117618,0.6316801728823803,0.027067538715913664,0.027068382493079975,0.026481534184864926,0.021892783433126447,0.025689525931521656
ma_feat rsi_feat MACD_feat,-0.17705529867385564,-0.1919242910247986,-0.06861570692970838,-0.1327157578583421,-0.031998885528178735,0.4427751965672314,0.3566856412512505,0.2756471293704948,0.3666205375342722,0.3479587866054062,348.0,282.0,394.0,370.0,448.0,189.6823176823177,193.6153846153846,188.04595404595403,183.58041958041957,190.3026973026973,9.422790299214832,9.71467565474644,9.689885763717042,8.970383281876881,9.689648224640708,0.6036082003694158,0.6138889268403735,0.659375944865088,0.6807549749421244,0.6317336220640845,0.026558466431215965,0.027152529386324953,0.025727776528950422,0.021724520272101342,0.02611481645318563
sma_feat lag_feat rsi_feat ,-0.16504374878727834,-0.1949538953792882,-0.057655163081255525,-0.11886376639006463,-0.01725059085158092,0.44161633559157876,0.34433126361884203,0.27707966691751895,0.3695443975673263,0.3550506053070614,333.0,281.0,410.0,351.0,466.0,189.66633366633366,193.80719280719282,188.37062937062936,183.06593406593407,189.87612387612387,9.841166366064302,9.525638467409332,9.281244340253972,9.25492562647849,9.075827199800546,0.6030187751257512,0.6131604575375265,0.6575627372959171,0.6821689246528465,0.632470751277357,0.027762903459030406,0.026933500666221594,0.025634593926190698,0.022602767001121005,0.02451362907139899
