,AAPL.O mean ret,MSFT.O mean ret,INTC.O mean ret,AMZN.O mean ret,GS.N mean ret,AAPL.O ret,MSFT.O ret,INTC.O ret,AMZN.O ret,GS.N ret,AAPL.O improvs,MSFT.O improvs,INTC.O improvs,AMZN.O improvs,GS.N improvs,AAPL.O falses,MSFT.O falses,INTC.O falses,AMZN.O falses,GS.N falses,AAPL.O falses,MSFT.O falses,INTC.O falses,AMZN.O falses,GS.N falses,AAPL.O SMA mean imp,MSFT.O SMA mean imp,INTC.O SMA mean imp,AMZN.O SMA mean imp,GS.N SMA mean imp,AAPL.O SMA trade mean imp,MSFT.O SMA trade mean imp,INTC.O SMA trade mean imp,AMZN.O SMA trade mean imp,GS.N SMA trade mean imp,AAPL.O lag_1 mean imp,AAPL.O lag_2 mean imp,AAPL.O lag_3 mean imp,AAPL.O lag_4 mean imp,AAPL.O lag_5 mean imp,MSFT.O lag_1 mean imp,MSFT.O lag_2 mean imp,MSFT.O lag_3 mean imp,MSFT.O lag_4 mean imp,MSFT.O lag_5 mean imp,INTC.O lag_1 mean imp,INTC.O lag_2 mean imp,INTC.O lag_3 mean imp,INTC.O lag_4 mean imp,INTC.O lag_5 mean imp,AMZN.O lag_1 mean imp,AMZN.O lag_2 mean imp,AMZN.O lag_3 mean imp,AMZN.O lag_4 mean imp,AMZN.O lag_5 mean imp,GS.N lag_1 mean imp,GS.N lag_2 mean imp,GS.N lag_3 mean imp,GS.N lag_4 mean imp,GS.N lag_5 mean imp,AAPL.O digi-rsi mean imp,MSFT.O digi-rsi mean imp,INTC.O digi-rsi mean imp,AMZN.O digi-rsi mean imp,GS.N digi-rsi mean imp,AAPL.O SMA,MSFT.O SMA,INTC.O SMA,AMZN.O SMA,GS.N SMA,AAPL.O SMA trade,MSFT.O SMA trade,INTC.O SMA trade,AMZN.O SMA trade,GS.N SMA trade,AAPL.O lag_1,AAPL.O lag_2,AAPL.O lag_3,AAPL.O lag_4,AAPL.O lag_5,MSFT.O lag_1,MSFT.O lag_2,MSFT.O lag_3,MSFT.O lag_4,MSFT.O lag_5,INTC.O lag_1,INTC.O lag_2,INTC.O lag_3,INTC.O lag_4,INTC.O lag_5,AMZN.O lag_1,AMZN.O lag_2,AMZN.O lag_3,AMZN.O lag_4,AMZN.O lag_5,GS.N lag_1,GS.N lag_2,GS.N lag_3,GS.N lag_4,GS.N lag_5,AAPL.O digi-rsi,MSFT.O digi-rsi,INTC.O digi-rsi,AMZN.O digi-rsi,GS.N digi-rsi,AAPL.O f1 mean,MSFT.O f1 mean,INTC.O f1 mean,AMZN.O f1 mean,GS.N f1 mean,AAPL.O f1 std,MSFT.O f1 std,INTC.O f1 std,AMZN.O f1 std,GS.N f1 std
3 and 5,-0.06412505122152551,-0.15322563695809543,-0.08681957197855034,-0.24470635484543854,0.008865426363957443,0.3826961950238852,0.29433975743815105,0.2326161254830322,0.457097916746295,0.3252272630358907,1147.0,782.0,878.0,779.0,1300.0,176.94313725490196,180.95411764705884,177.46039215686275,173.75411764705882,177.9121568627451,9.047990157669062,8.87548741642131,9.03937378288764,9.867041399959144,8.791386417517701,0.015038214235397493,0.013921338934243693,0.012788951678580119,0.012449024360236816,0.012931544434782748,0.012450671131567084,0.010572556741128863,0.012122659338947636,0.00996731376387834,0.013701357174204896,0.03065655419039429,0.029112165040586467,0.0294363296518085,0.02886160265063549,0.02981975155959663,0.028925884062173075,0.02877766686015161,0.02885730031782017,0.02713680133998093,0.02753287146485673,0.030304826778282695,0.028511981264640034,0.028060055427407974,0.02944971965982155,0.028126166541496217,0.02936513858624428,0.027390774121662343,0.027999710681769124,0.027476635108387864,0.02799729740785817,0.029926704449244803,0.029683594612653748,0.029516978770118635,0.02839407598083995,0.029196846505316672,0.03183919545315953,0.03153219723312636,0.02886143199601421,0.03058861795632874,0.03071749253465562,0.005898134586191091,0.00442796685830388,0.0039032522459520333,0.003108214935588914,0.0031935516846503514,0.0027701707691839676,0.0026833834660138257,0.002827989389030903,0.002871903680676946,0.003137833537164491,0.007529489555259397,0.005193130288618928,0.006099895509954247,0.005792579802779807,0.006520043821713183,0.005543765872400431,0.005484287239646352,0.0054552757564525186,0.00508207537039716,0.0047552065342752565,0.006922762015196385,0.0062286909863124,0.005744321825600262,0.006794547807666638,0.005494772091884051,0.006170861094527447,0.006162434012836011,0.005691346436399164,0.005190678420578838,0.005493811848656281,0.005510146888102431,0.006966246727543602,0.005607552236798981,0.005763421900066254,0.005483169304838253,0.007518557098570444,0.007664988127188362,0.0058167572783417495,0.0062597116269598714,0.0057505332994468375,0.6245569932128556,0.6026186398353944,0.6547771117342321,0.6669642497568434,0.6364278175572607,0.02951486739472717,0.031089961979962815,0.02812909694931764,0.02615740640345087,0.02638153119962656
3 and 10,-0.09559612891298772,-0.18395210593304737,-0.07796406569391551,-0.1530229836232386,-0.025626674543668206,0.3944042924635909,0.3274298702543443,0.247649157447215,0.3827752018371131,0.3271142107845328,930.0,787.0,971.0,895.0,1114.0,179.69098039215686,181.9894117647059,177.461568627451,173.641568627451,178.6886274509804,8.83137201342318,8.95769916387971,8.126784047740367,7.871924819450382,8.942665775015001,0.0173813697781164,0.013829179808776727,0.013834465078012458,0.013221174022912889,0.013751536385135465,0.012208767732768435,0.010330184657928232,0.012163314212568053,0.009915993415856868,0.013152445210242428,0.030826479182019004,0.02899483394551775,0.029033928561112962,0.029191579239056038,0.028606034019235668,0.028141320296777662,0.02869821969618195,0.028234068920189394,0.02880603786642111,0.027423129510983833,0.029762398902123562,0.028138656665845207,0.028719507457353646,0.027176178002654875,0.029148986780384963,0.02973179100364561,0.027191183831461966,0.026808133466441005,0.029145392954660218,0.02751427097580857,0.030565457808455515,0.02856612295485195,0.029062093085064616,0.029053267339289715,0.02899567590303702,0.03295222767817031,0.03055542129940276,0.029390793998081595,0.030111240614295813,0.029667137739157707,0.008055729235636785,0.004912874264390218,0.004858578606481597,0.004025498566867487,0.0040288159895416845,0.0027788422492126237,0.002593158833805306,0.002953855759800142,0.0031732378575449294,0.0025790306482500096,0.007335936880405079,0.005452631288934906,0.005621955979443847,0.005519534681117599,0.005157900729529324,0.005735531555117898,0.006883629933407346,0.006019946461534902,0.0052701751568980685,0.005143523784900481,0.006468221882934278,0.005409410730781695,0.006104101487507205,0.004575142478612247,0.0068167728087108114,0.007065588202750497,0.005302377562936879,0.00635194437805884,0.006293173300542728,0.0054326125847533385,0.005842033402108974,0.005879664408108005,0.005119852036015628,0.005830182803871708,0.00536165551731664,0.009070047181067931,0.0066731075993789035,0.005991991930439654,0.005995211608670244,0.006721160936238294,0.6122387529374047,0.599252845528209,0.6547006063940459,0.6649990002744055,0.6330815207795347,0.032336842048956684,0.0336824455025578,0.024695185314990285,0.022259511744687873,0.02747847184596523
3 and 20,-0.10051369768578157,-0.2507232130406571,-0.13614828810958796,-0.17812457396475254,-0.0865562676617883,0.5091615338311075,0.38420933533057877,0.337638581494193,0.36518732569253093,0.33681602334745847,1111.0,651.0,877.0,819.0,1072.0,176.85019607843137,181.73450980392158,175.99450980392157,171.6721568627451,177.23333333333332,8.780009903872934,8.783639324737518,8.387064409346909,9.244338615854996,7.697094229572606,0.014798651913555469,0.01274582255763773,0.012080345671675161,0.011957322000734686,0.01343238210594845,0.012513849745988742,0.010905796707294916,0.011765647217496943,0.010057540224821186,0.013488843464580586,0.0312826338260505,0.029698928099573297,0.02977022698887067,0.029915205084555516,0.029273503418051072,0.029509348036885912,0.028964794067397114,0.02830666161540958,0.027920904799865143,0.027864486399101867,0.02929797562477898,0.029204298456717716,0.02995500816609122,0.02819386275935815,0.030043394591939086,0.03008596915906863,0.027907124130717997,0.029306280364723783,0.028496358585783803,0.02814429161543233,0.030100491156498783,0.029815593421701772,0.028255333820397435,0.029504463742234425,0.029010643070564533,0.030627098781631723,0.028870621245594516,0.028188454224266305,0.029640220527354474,0.029099622609649607,0.006670731378476899,0.004059188923364793,0.004414403860396959,0.0033460485366513986,0.003804412997993996,0.0027783012415892694,0.003723469773027425,0.002650807695017114,0.0030158036352330823,0.0029477829856157283,0.007375719742159101,0.006073101864039309,0.005594518552346977,0.0052105312704600615,0.005754359033092576,0.006050060157635085,0.005891276395419907,0.0055045665239769745,0.004694699108720043,0.005093926466769734,0.006069174943560695,0.005316316348162694,0.006474042125126474,0.00471797509295545,0.006347206000965017,0.006534691397124591,0.005488978343219143,0.005737612567518154,0.005747016583645473,0.005263857511327972,0.006142113066358969,0.0048086232536208445,0.005339231727012745,0.006517087989796859,0.005361112743614165,0.00736946917843201,0.005079634923810553,0.005295747007692211,0.00600130467713492,0.005235154044864931,0.6251466761920771,0.6038264881738551,0.6621246391161232,0.6725694133606426,0.6421316330827029,0.0321102747831239,0.027329859885359166,0.02462107457163681,0.026020648907429864,0.024381698946311155
3 and 30,-0.013573973512824184,-0.2308912922459152,-0.08008308533393645,-0.1324689893855235,0.038877418324513656,0.3991196436189812,0.34698296196691875,0.22389845871072886,0.38320400091477225,0.303930134485566,1278.0,590.0,941.0,984.0,1272.0,177.31098039215686,182.01529411764704,178.10156862745097,174.08352941176472,176.14666666666668,9.483284059810204,9.41761168131681,9.215068887214699,9.581252295055398,9.538819258116888,0.01398947463910565,0.011892011881717459,0.012255843510381555,0.0128450244260015,0.01368508204846004,0.01276890293360637,0.01056398367124343,0.012186793699376523,0.009728169523892634,0.013141642527561517,0.028995017698837007,0.031144592267004573,0.028762387855802374,0.029474003844858293,0.02827199877455416,0.03007260323763491,0.029803716317263685,0.02828821263045731,0.028660520964748765,0.028996882414207885,0.03252059171498457,0.029742611180797955,0.028894559375635717,0.028408436777864542,0.027338183452224916,0.028401430216174015,0.028844831338586365,0.02717557845820584,0.027630127082888402,0.02826378976883233,0.02959983723751837,0.030285670592058455,0.030961498014829236,0.0300921052601154,0.028882809606871424,0.029762877884400664,0.030913394443326307,0.028077859987368486,0.03002881125926623,0.02864813148133495,0.0049136975476870145,0.002704981633551655,0.0028717148926384888,0.003284695667031986,0.0034571116032048156,0.0026454568975106617,0.0031433556835791616,0.0026993921772681764,0.0029400513728956978,0.002756952528467455,0.005465917664143656,0.008099991562670012,0.005819330886757558,0.005628684206205341,0.006125816777481663,0.006906753317368059,0.0058779673617869906,0.005025733501951354,0.005103986195102354,0.005482658942167986,0.008210420367357847,0.0065484855728016505,0.005041290719620479,0.006070835623118061,0.0046920427698894625,0.005616215580133192,0.005343597822353762,0.005330633586711833,0.004789149165862288,0.0056542604603360596,0.006311303750479792,0.006391258399585008,0.006205817254807403,0.006641069673748397,0.005242863580585747,0.006112718967804209,0.007243788707373994,0.004808943238743754,0.00633312573044556,0.005033482548581127,0.6252774846141186,0.6020624245499123,0.6559677223751154,0.6652528607349649,0.6408626516297569,0.02730337080617694,0.03137338172127609,0.024883074198603507,0.02488766774447723,0.026021370929511446
3 and 40,-0.0719605854956799,-0.23734283489936672,-0.07789608648492742,-0.2118836640215342,-0.04909487464899091,0.39231746610658996,0.378803582241666,0.2926411163493396,0.4590281746625927,0.29553026921181724,1070.0,653.0,1027.0,790.0,1191.0,176.34117647058824,181.41529411764705,177.20078431372548,170.79921568627452,177.7192156862745,8.446429078047935,8.988925742603826,9.01681438840451,8.440714682493837,8.528422892349232,0.013016702297337314,0.011943525606878969,0.012818222645843943,0.013383221726374397,0.013590176324258785,0.012544118107510925,0.01009661503560174,0.011803096377688655,0.009407751176532073,0.013033705531578677,0.030080659861452037,0.030273292209151162,0.0291690358127735,0.029782615905361933,0.02855216286101108,0.02959753859662853,0.028679718688124762,0.027632231121325814,0.028662938793030095,0.02844684960691692,0.03090656582205204,0.02962998281158267,0.028371468854948487,0.02913394683307499,0.03024415528002995,0.029298393755860186,0.029389353834508112,0.028753166784816042,0.027936086020991846,0.0269820693187215,0.03092543320731186,0.029053725279937853,0.0296703996521952,0.0285350916940056,0.028994496624099704,0.03240643601774908,0.0305177837396118,0.02827286383322718,0.029560277041570993,0.028904125308323814,0.004102998560124075,0.002810527605708343,0.0034831263405219128,0.003425332754847617,0.003945746437470763,0.0026774532317733134,0.0025705727799150307,0.0029862338644483667,0.0028098062551723973,0.002696098135150323,0.00651804107300049,0.0062527317433957235,0.006054868268064234,0.00800701777141649,0.005442656791326488,0.006704942587129845,0.0054632474419062625,0.004887030582615713,0.005479236316723379,0.0052531787892248815,0.006645468250183918,0.00600784224020953,0.005824346899254667,0.006259398990649954,0.007236668596730809,0.005642822971770158,0.006245081205506806,0.005471485461518906,0.005449358853636088,0.004771241274920489,0.007174884278935062,0.006429841690056224,0.005481611191023785,0.004977126774417878,0.006065171697332921,0.008357448966264596,0.0073315087720142785,0.004859749396213896,0.004901692974460479,0.005371563553534399,0.6268699095481871,0.6026746939031277,0.6567283763899102,0.6755233496062933,0.6381728301304166,0.02570618269430351,0.02950167504056647,0.02764916255243753,0.024768498591195533,0.025907455348336862
3 and 50,-0.01393656461580713,-0.16515791302179691,-0.07954719538927163,-0.13317421148962216,-0.035143364258165784,0.41295234048308327,0.3083282837330114,0.2548264776457018,0.40534982258038554,0.28591022007393135,1262.0,707.0,977.0,948.0,1101.0,177.4329411764706,183.24196078431373,175.66392156862744,171.25411764705882,177.00156862745098,8.70248479690257,9.69668906450461,9.180569071874025,8.568129377049235,8.785933194436053,0.013963514828915767,0.012482196638678876,0.01277920379824929,0.015004166237825325,0.013394600927890308,0.012454478318045432,0.010418479929688066,0.011500809816386567,0.010128213071691396,0.013048557704942653,0.03202614820081796,0.03144019381781936,0.029584179168669716,0.029205225127263597,0.028607105218580037,0.029203514140747636,0.028379737724761236,0.027973842335596907,0.028160905179922018,0.027202533739150006,0.030294350683797235,0.029071056072292593,0.02935624826139285,0.02823116025390088,0.02849786298795973,0.028512446811412837,0.02815259613557752,0.027985257247425326,0.02725019483815323,0.028142738024662366,0.03010952464509692,0.028937846619719768,0.030437947315738942,0.030268615462844924,0.02877291187883895,0.03267215434004228,0.03042389344016954,0.028318101147390865,0.029371481165734986,0.028236006742206145,0.005493574150738786,0.004089956034078152,0.003067813555023115,0.00496030424765034,0.0035891808518651214,0.0025700541536543427,0.003005008686381004,0.002529368991789038,0.0032589956620865104,0.002589883855365631,0.008416446519819449,0.007394135895259078,0.00522605111097589,0.0057330280666036786,0.005125818315657521,0.005624347223262376,0.005666937624722422,0.004793010273550097,0.005103939567971527,0.004343496552748863,0.00653114696674734,0.0062027149366828856,0.0056180132174199395,0.00585409669942338,0.004737759483614291,0.005636938207603957,0.005151559812330862,0.005815371600315521,0.0048313079203113445,0.005447713220832283,0.005716174765360637,0.0051630102483841344,0.00673277855272308,0.00550658191152952,0.005012514418702764,0.0090651909931572,0.006551369927659323,0.006047575589947539,0.005934464886174163,0.004466771048139638,0.6220709035026153,0.5965624996567463,0.6605392179853211,0.6725415229527228,0.6399116210702375,0.027065174969334554,0.03376239842893224,0.02821815009405492,0.02500197858971498,0.024455683221234727
3 and 75,0.005223610138657455,-0.22608736093822654,-0.11282766455911346,-0.15369732711538342,-0.04402679448068617,0.386598543474902,0.3294135897815648,0.231334767819707,0.347779055425605,0.2891404525173612,1229.0,654.0,793.0,893.0,1153.0,177.17529411764707,184.08980392156863,178.45490196078433,173.2372549019608,178.66549019607842,9.106291039519562,10.684101895243609,9.083378949307162,9.164454949269423,9.072431244417448,0.013526846700763106,0.012635691190864527,0.012848095405704286,0.014201083558712208,0.015257515635148476,0.012297950468095627,0.010136292148866667,0.012091910169903413,0.00923932344775542,0.012810856389854528,0.029674238505060815,0.029859810883956544,0.029401030784116294,0.029350507318698406,0.028945596851532435,0.03056905809982482,0.029563828181021812,0.02724636226603532,0.027808161126040676,0.027336695483563333,0.02997104186329712,0.029735365647833203,0.028916888798158458,0.029164585473725167,0.028537201586769128,0.029988069265114353,0.02778564946450835,0.028156606383058048,0.027248282877814264,0.027566997226489327,0.0324005136432652,0.028990984157166055,0.028004552740573375,0.028327556589714583,0.028569935903178953,0.03085085046694095,0.033659048889375535,0.02834844739917226,0.029239969913998718,0.029736597094327945,0.0033533438508773204,0.0026796282168581854,0.00401957314094399,0.0036329150972472237,0.004493221955580287,0.0025075994103438324,0.0026131710293873685,0.0030477069978292856,0.0028898535061625315,0.0026920386973812082,0.005766765677383111,0.006748574844732598,0.006276874180366309,0.0058164236855289975,0.005360619453316155,0.007683364323188863,0.005844810034332719,0.004730695885843606,0.004974155687623323,0.005157541779592765,0.006214654880809805,0.005989320058227966,0.005763443635398426,0.006319753751466951,0.005948285162801324,0.0072474581386961084,0.00578394453694135,0.004902535969145004,0.004891685816097934,0.0055104846222584734,0.007988873656877624,0.005518414423869704,0.004742276951384657,0.005978370536675967,0.005587707953780505,0.006236449006645269,0.009060829631138216,0.005653006180195662,0.005250814295349247,0.005155868921585207,0.6258594633751147,0.5944951905861848,0.6537340139055597,0.6676506571382829,0.6348196375834444,0.02700403701123207,0.034577496621731374,0.03029845002663825,0.026138998333494624,0.028990758358868
3 and 100,0.03710986395194749,-0.15662749610151466,-0.03809608652435603,-0.11764072830880204,0.03376865436532386,0.386540202275309,0.3014010701797759,0.2475757515520941,0.36728277886980015,0.2905265322470892,1331.0,658.0,1007.0,903.0,1390.0,176.55098039215687,182.61098039215688,177.22588235294117,173.3443137254902,176.63372549019607,9.0861979266073,11.228503153644686,8.76747018530767,7.767807659642385,8.78401084087818,0.013340694124086587,0.011313887841941055,0.012322986060239375,0.013723499101211055,0.013876137632012826,0.01188089933393119,0.009827572409037706,0.011635060962488423,0.00951962381107547,0.012811301307629641,0.030039652262693325,0.030863291429968912,0.03137078494238331,0.029165584746269638,0.02993660262509183,0.029374096528718464,0.02982518184694989,0.02805029128837367,0.028496151647913255,0.02818816215278459,0.02888788140316493,0.030410728595349056,0.02839440076261854,0.028295830843672095,0.02913558464333019,0.028748419651839136,0.028361468813491133,0.0291280293779779,0.028198086852748928,0.02759837034896059,0.029638827664766946,0.028781285249603557,0.02959635272226788,0.029067539186676053,0.028819185154824144,0.03126356887645694,0.029891101473298567,0.02869497325264305,0.030893182794166345,0.03063372027734399,0.003673136287027873,0.0025024667905113418,0.0029415349093732533,0.004255406228465946,0.0034739658636609495,0.002488802487086983,0.0024952589463040583,0.0027201423426213515,0.003090186986236054,0.002451384492885859,0.0069655196915762605,0.0069026391192947125,0.00904801441482333,0.006689056822431422,0.007131223199985867,0.00628742965830303,0.006818190669476762,0.005400121323569336,0.005744385701066947,0.005430931735932222,0.0068385272371231645,0.005616102021135553,0.004924881464132914,0.00512347284525451,0.00667929643234507,0.005444563507839124,0.006150575042320786,0.005552707536190717,0.005287963246999115,0.005425879765402819,0.005486879445685574,0.00663677004523594,0.0061617171301263296,0.005600680713872703,0.004472496487799015,0.008222734187565668,0.006146465169820268,0.005095918436018165,0.005737400138182889,0.006673690155729648,0.6264971018184585,0.5997657266772174,0.6621040118260036,0.6680925798082394,0.6422318012693105,0.029441816766000876,0.036637361948345534,0.024280843507996856,0.02206603799039695,0.02549644540853265
3 and 125,0.03494143020745964,-0.18874888150928276,-0.05562362100246471,-0.17918920086653498,0.05683932583402831,0.42657051573897287,0.3697497305242847,0.26107512601443433,0.4278925011136293,0.3053729858695889,1315.0,785.0,1059.0,865.0,1417.0,177.61921568627452,183.6607843137255,177.28745098039215,172.07333333333332,177.03529411764706,8.08830380652231,9.611960854057507,9.058207188518805,7.842238260118617,9.608475554586988,0.011997496720942144,0.011541129889878174,0.011345559038459279,0.012441402488962618,0.013707753110199629,0.01138686457534889,0.010295395384232445,0.01184243939115749,0.009224214637095227,0.012859601452715015,0.03198161733413796,0.02968875491722129,0.02869017514551054,0.028883156157527817,0.02893648012741452,0.028806982639680172,0.028189488049834684,0.027647169114539807,0.02697306167716425,0.028233748862952716,0.029327946605106143,0.029532377606297452,0.02806220434270361,0.027742529544017132,0.029831799664299864,0.029569537481403396,0.02808874390617964,0.027917273971416728,0.028622107959943084,0.02881510071849835,0.030473099217437984,0.029538370398444425,0.030418653124025828,0.029193693436251122,0.02958035377850998,0.03380654933919205,0.031998018194418436,0.029542763392948045,0.032132795848744525,0.031133590755187443,0.0027300139625098317,0.003442041111316826,0.00251639364605905,0.0039727114325729005,0.0036286600553004445,0.002459200880219895,0.0030810782839313855,0.00307310566529271,0.0027957542066897874,0.002666666702040734,0.007960377832881747,0.0062423342021568394,0.005471602006915753,0.005129827086537337,0.005688900896967863,0.006223487724503406,0.005564219992126036,0.0052482470788331,0.004458898911064847,0.005305472150789108,0.005829049977838196,0.006143062085451983,0.005042883903559021,0.005216653371215421,0.007136361609636904,0.0065586351705579325,0.0053844837844042245,0.0055344034864530465,0.005006161288819617,0.0067332991766254945,0.006492445803252873,0.006371837084340657,0.006000054289465378,0.005901385601778969,0.005934037611000585,0.009257143885988382,0.009331530719050636,0.005990411776267806,0.007529934232772985,0.007295962191016904,0.6196221798976537,0.5941627983755946,0.6568697720950888,0.6715543726064894,0.6368339348122586,0.024690633389424715,0.030603197084757106,0.026309895133229937,0.022016300824186163,0.0310253959666785
3 and 150,-0.06595788056229236,-0.21842032240174622,-0.04351746900935972,-0.15507601732876863,-0.005662036676493786,0.43341007430752515,0.3594429867804949,0.2614760934430005,0.4395252948356086,0.282911684715114,1061.0,647.0,1075.0,902.0,1194.0,178.2443137254902,182.37450980392157,178.08588235294118,172.95568627450982,176.89803921568628,8.763865157711976,8.955829518287853,8.416907263326847,8.081771004989964,7.785005610547042,0.011493090455058624,0.010822436925931614,0.01117949929146614,0.01088934804515874,0.013937069526583296,0.011197391716741693,0.01067854682795182,0.011743161305303585,0.00873658369136919,0.012689586831591444,0.02986175266157241,0.03061382737639099,0.028690260310390885,0.028125267272277328,0.02819584721577434,0.02880482655305572,0.029263032826342704,0.029854017756588608,0.02864779383462257,0.02851306972638106,0.02832209977240234,0.029530099316308567,0.028643143747989003,0.02782327066080034,0.027817353775430945,0.02927593410208741,0.028365151319577085,0.028883902949634076,0.027970955190483416,0.028402192915869505,0.02898936199596326,0.03118007651620358,0.030467439839636984,0.029519262514399975,0.027749140776325423,0.03397583155883675,0.035564100879762195,0.03147465699307581,0.030544597923576538,0.03156501710108408,0.0027193888685632544,0.00315729397021965,0.0025065570727968284,0.0034488820920743806,0.0034208751047747005,0.00262957676581963,0.0037272532316958776,0.0029279925191147494,0.00285875290923415,0.0026272524577139605,0.006256142619545399,0.006330090359575642,0.0048329615944357335,0.005374570151946509,0.004956196792094621,0.006194833131137408,0.006022732685821646,0.006907694251381943,0.006743105622207373,0.0055123018639122,0.005106955628469104,0.005673661651218612,0.005755561322952976,0.005246446612755189,0.004441654220591699,0.006507696927637998,0.005603690482870302,0.00581312991235956,0.006046362746009082,0.005288636422113699,0.005259727221197705,0.007309089182556953,0.00642223969802231,0.0056858870559913345,0.004865030222375329,0.008011669777600533,0.010341256065910374,0.006689227390041331,0.005374719732002104,0.006168172893324218,0.6179328047261534,0.5974105566153137,0.6537802274285327,0.6676195794284502,0.6386682412453502,0.02965625837870999,0.029011077615773564,0.025350033240757398,0.022584958407496986,0.026375683354153037
