,AAPL.O mean ret,MSFT.O mean ret,INTC.O mean ret,AMZN.O mean ret,GS.N mean ret,AAPL.O ret,MSFT.O ret,INTC.O ret,AMZN.O ret,GS.N ret,AAPL.O improvs,MSFT.O improvs,INTC.O improvs,AMZN.O improvs,GS.N improvs,AAPL.O falses,MSFT.O falses,INTC.O falses,AMZN.O falses,GS.N falses,AAPL.O falses,MSFT.O falses,INTC.O falses,AMZN.O falses,GS.N falses,AAPL.O SMA mean imp,MSFT.O SMA mean imp,INTC.O SMA mean imp,AMZN.O SMA mean imp,GS.N SMA mean imp,AAPL.O SMA trade mean imp,MSFT.O SMA trade mean imp,INTC.O SMA trade mean imp,AMZN.O SMA trade mean imp,GS.N SMA trade mean imp,AAPL.O lag_1 mean imp,AAPL.O lag_2 mean imp,AAPL.O lag_3 mean imp,AAPL.O lag_4 mean imp,AAPL.O lag_5 mean imp,MSFT.O lag_1 mean imp,MSFT.O lag_2 mean imp,MSFT.O lag_3 mean imp,MSFT.O lag_4 mean imp,MSFT.O lag_5 mean imp,INTC.O lag_1 mean imp,INTC.O lag_2 mean imp,INTC.O lag_3 mean imp,INTC.O lag_4 mean imp,INTC.O lag_5 mean imp,AMZN.O lag_1 mean imp,AMZN.O lag_2 mean imp,AMZN.O lag_3 mean imp,AMZN.O lag_4 mean imp,AMZN.O lag_5 mean imp,GS.N lag_1 mean imp,GS.N lag_2 mean imp,GS.N lag_3 mean imp,GS.N lag_4 mean imp,GS.N lag_5 mean imp,AAPL.O digi-rsi mean imp,MSFT.O digi-rsi mean imp,INTC.O digi-rsi mean imp,AMZN.O digi-rsi mean imp,GS.N digi-rsi mean imp,AAPL.O SMA,MSFT.O SMA,INTC.O SMA,AMZN.O SMA,GS.N SMA,AAPL.O SMA trade,MSFT.O SMA trade,INTC.O SMA trade,AMZN.O SMA trade,GS.N SMA trade,AAPL.O lag_1,AAPL.O lag_2,AAPL.O lag_3,AAPL.O lag_4,AAPL.O lag_5,MSFT.O lag_1,MSFT.O lag_2,MSFT.O lag_3,MSFT.O lag_4,MSFT.O lag_5,INTC.O lag_1,INTC.O lag_2,INTC.O lag_3,INTC.O lag_4,INTC.O lag_5,AMZN.O lag_1,AMZN.O lag_2,AMZN.O lag_3,AMZN.O lag_4,AMZN.O lag_5,GS.N lag_1,GS.N lag_2,GS.N lag_3,GS.N lag_4,GS.N lag_5,AAPL.O digi-rsi,MSFT.O digi-rsi,INTC.O digi-rsi,AMZN.O digi-rsi,GS.N digi-rsi,AAPL.O f1 mean,MSFT.O f1 mean,INTC.O f1 mean,AMZN.O f1 mean,GS.N f1 mean,AAPL.O f1 std,MSFT.O f1 std,INTC.O f1 std,AMZN.O f1 std,GS.N f1 std
3,-0.05748656713661429,-0.21600941348160285,-0.12521603191379785,-0.22313816022863836,-0.03798002080607629,0.3649453761522515,0.37411381801993226,0.2719268697165769,0.3766787048398071,0.32909404015042076,1065.0,726.0,849.0,681.0,1153.0,180.36352941176472,183.96666666666667,177.10117647058823,174.38745098039215,176.9713725490196,8.890290925962551,9.292048230842855,9.511775371721214,9.09418911015986,9.04569521272704,0.011881835115053191,0.010633696115781304,0.012694143469409232,0.007459741640340245,0.01414467329048317,0.014216982042515525,0.012870109904801223,0.013877966369388555,0.01332652333385575,0.012965986345778127,0.027886523878602097,0.02974728566795308,0.0295183015669024,0.029298720669414746,0.0286065122139286,0.027841729877020636,0.028373210012452705,0.029325396808768764,0.02899310856573013,0.02863791575592391,0.0272985847962989,0.028176469962076817,0.02928546509574147,0.02871077457750262,0.02895371322110747,0.027395233372468176,0.026405775016632764,0.028159069491355517,0.02802535724234541,0.027853161841880546,0.02788189506510991,0.029210354198301355,0.028913730273642548,0.030202584713935568,0.028803930747189867,0.03464361410827567,0.03386471622894989,0.030230754614885034,0.031616231855472875,0.03206822093272381,0.0029111507292070597,0.002474207432807424,0.002650527718609242,0.00210616041901561,0.002890445730836237,0.004170052045249786,0.005919098154560109,0.0043708150004482926,0.003486459829986225,0.0033634263285505614,0.005592204437659182,0.006005819269832001,0.004913043930625176,0.006029462478350396,0.005399707220594034,0.005466673841000377,0.005337996669759724,0.006096584321725129,0.005423101642779116,0.00560631138563447,0.004964149154187801,0.0051980680909163935,0.005682520681509377,0.005864588472071984,0.005974097131634488,0.0053243290986551605,0.004737806452533727,0.005515638081955542,0.005741472712349739,0.005571319000880963,0.005042443919611721,0.006611661835042562,0.005297740890837568,0.0059732572503267195,0.005341192997157317,0.009376892563153058,0.009332634712622943,0.007722539497066602,0.006963643293462489,0.007160575234799867,0.6153582902019662,0.5918921223754342,0.6572047813594382,0.6636011316518877,0.6407829034838735,0.029959800767531516,0.030054619181832654,0.029898265700717297,0.02784946469424751,0.025855955984920773
5,-0.05366777390073254,-0.11129136231218024,-0.05337237083810978,-0.07035953707845549,0.0026331261820434874,0.41146249681836705,0.30384965736744524,0.26063608892488754,0.37342787471699873,0.24875314604107118,1083.0,870.0,976.0,1125.0,1189.0,177.8356862745098,185.12196078431373,178.50235294117647,174.6458823529412,178.05176470588236,9.937903563910936,9.284887137017211,8.94838268737075,9.042535632923853,8.173413901506814,0.011282600225962714,0.010627051453585397,0.012636984574857036,0.007407866415719017,0.01379530786342483,0.017134508315497968,0.013191058325014623,0.013690504310330113,0.013157119697028753,0.01378585976296597,0.02972951847860033,0.029080299548370877,0.029216250653733962,0.028392555362554504,0.028581191059214042,0.028158017822382014,0.028071078991920483,0.02927761840792624,0.02806312951623498,0.0279829069064323,0.028517347386867488,0.028952237522699854,0.029574086430621167,0.028530432221449357,0.02739583260208532,0.028430512171302907,0.027581226472684586,0.027858032934223186,0.02787654810049941,0.02851932402009939,0.028452975745967293,0.029045696578779995,0.02801664006447028,0.02799431100320109,0.029506182782150354,0.03532288736301321,0.032728139327363494,0.030363288716545977,0.0312950598484549,0.0307778110157646,0.0028128945273998398,0.0023969497503145746,0.0026214626259063174,0.002115601700770366,0.002865689905929042,0.008094259533183256,0.004485385650766237,0.0042742244747869616,0.0037368940528394656,0.005014252399458371,0.006775653015451267,0.005913677973887972,0.005542288961837698,0.006483508184142751,0.005263059091555014,0.00590964343917571,0.0058589210845146926,0.006565999033079499,0.005723531964736438,0.005144542784211741,0.006053006765040418,0.005884905476559444,0.006100257719901254,0.005206422017817253,0.004739264179383327,0.00563236131783052,0.005269390692513079,0.005054385928818857,0.0054580684095866016,0.006416615308205993,0.005838982776633752,0.005181698726066525,0.005185988650857225,0.004923728317824783,0.0050525546647664,0.010356391145056352,0.010104536182323098,0.0071886372020382215,0.00674317394034163,0.00619302002114094,0.6178674648125123,0.5865956136185069,0.6512678265952687,0.6608347870168619,0.6335678531828324,0.03799995239667418,0.03396880947156571,0.02940290875506074,0.026045619321889583,0.028729614752337606
10,-0.03371306528504849,-0.20750003235602868,-0.10640130618062603,-0.17598396621653606,0.0021586969025240727,0.4028158205552708,0.3320978671844693,0.2517987832216989,0.37120065229343935,0.2724835441381571,1246.0,645.0,883.0,788.0,1237.0,176.63882352941175,183.07686274509803,178.3607843137255,174.29882352941178,179.07725490196077,9.581767136783803,10.091362458747465,9.389235308315612,8.889502946761521,7.946461218315947,0.011944397698889513,0.011080980070878942,0.01253622860183315,0.007681574592064456,0.01464008514065324,0.01611454470371226,0.012946504787433206,0.0146173900554019,0.012629833609940772,0.013709186028206793,0.02931509030673523,0.030262646834474407,0.029713667854323386,0.028899565644090075,0.02867625166771311,0.02873554789184937,0.027167970797940706,0.029502745384188154,0.028641620247575307,0.027599412078803284,0.028746186747900596,0.028346853359799803,0.029089788771199863,0.029334703884421765,0.029211496477502395,0.027563784758831405,0.02805476141510803,0.0272436499265452,0.028172204847788044,0.028775894633541656,0.03025673316795674,0.029062876471396756,0.029338119469322427,0.029152298262315832,0.0295982140065016,0.031105028981337005,0.031028660838753743,0.02899708296244297,0.03074850456566095,0.029757912454966104,0.002811090091909352,0.0026000457272092837,0.0025477425257368095,0.0021384199919127853,0.0029981463972097045,0.007063683919338116,0.003938794994875463,0.006471710154961683,0.003742266931098948,0.0035552797440479593,0.005989811053815974,0.005411863305996716,0.0070077894737573965,0.0053496260574746385,0.005122602617504688,0.00626503336453818,0.004748468413268975,0.006653376654210604,0.0051116383217538015,0.004553486284615465,0.004848389284236385,0.0045660696935027785,0.00559708463925593,0.005589417664975388,0.006212095661609931,0.004888449696967604,0.005058506731117347,0.0048140019077950475,0.00532788652348553,0.006246098266887104,0.005891981560822463,0.005651085193430501,0.005833537016506599,0.005428505983878549,0.0063647217468798594,0.006328069868908031,0.008138615450798543,0.005904239015623574,0.006374358076202142,0.005982871322335858,0.6240100778937575,0.5986384196606486,0.6533581717391775,0.6653716028770696,0.6343793746669311,0.028302860847109864,0.03056958845501807,0.02939571935543332,0.024510882868713134,0.024475656847282434
20,-0.1039058078439867,-0.23120485057114512,-0.08964263579339278,-0.15479176137469206,-0.002478613097840484,0.4717510002139432,0.3511951207473336,0.2412577322741602,0.43529902318216496,0.2902030572400322,1088.0,605.0,852.0,914.0,1180.0,177.40666666666667,183.83333333333334,179.77176470588236,173.99882352941177,178.44745098039215,8.011008673770755,9.202404863050935,9.964298117717364,8.51838978236745,8.823771755429068,0.0119212582406544,0.010229752851185995,0.012701452284325466,0.0074929746608923264,0.013599414090222316,0.01572072545637034,0.01445378781472699,0.012835523519030142,0.012609130031132404,0.015317576452852583,0.030494254730698295,0.03020166817256991,0.029002016879450546,0.028741843938276303,0.02790643734781792,0.02868457355737272,0.029358358380712588,0.029347740657918554,0.028619787196656872,0.02726998586452625,0.03005783371849847,0.02889669869146808,0.028773828393050184,0.029544765810168905,0.029147168313978566,0.02784907434469003,0.02781765103488518,0.028584905486894623,0.028432346030562248,0.027753694806903182,0.030926264788787478,0.028232849453518106,0.02977780627978336,0.02896111375062739,0.029335301490113087,0.03151866699753875,0.029828675720535523,0.028252031553147258,0.03039728704914501,0.029403774158311604,0.0026735209065636254,0.0022892620026949985,0.0026188518971092104,0.002022938484538818,0.0027491043412873903,0.0061597020066873134,0.005756691713533141,0.004174824202255133,0.003913604690266086,0.005727429570937533,0.00538995307731942,0.007024968269922943,0.005480469531521991,0.005283751154684125,0.00495340097414376,0.005525382823507071,0.006395768334809661,0.005262641011162864,0.005533265857553752,0.004790049167398483,0.008217996109178808,0.007174925201532757,0.005368311181869332,0.005602045728303183,0.005840325891119571,0.005670232608267551,0.005478559736930506,0.006051865242735225,0.007009161225180645,0.004969367273715007,0.006234035768388391,0.004620704064542417,0.005900204441083404,0.0052490266820667065,0.006455213708953475,0.006554133933494253,0.0071324557933989865,0.005252025486151573,0.0062773570155083315,0.005201856804532273,0.6222007947697811,0.5941834533912898,0.6464614156547488,0.6631039185199723,0.6324258486004499,0.02770037882066518,0.03171698284054229,0.03180168122345711,0.025498592410886443,0.028804449256634636
30,-0.07047852588660518,-0.23990490264973469,-0.11198758337580704,-0.14481497935069926,0.02737965734765755,0.4109871461029322,0.36633244465421516,0.2751083868107294,0.360220820766957,0.2851436490279366,1142.0,637.0,915.0,848.0,1314.0,177.22196078431372,182.58901960784314,178.08705882352942,173.21176470588236,177.60509803921568,8.807125806136467,9.205838727287187,9.011928648210986,9.50908894073797,8.780469199237839,0.011560362269710182,0.010647607847092863,0.012868040123913288,0.007561136228019817,0.014055793227897089,0.014914263866474218,0.013075473297101048,0.012757816830201114,0.013089470738775264,0.015326804737663123,0.030361806352036308,0.02980449924261977,0.02968965809103259,0.03058843599940638,0.028941257780607972,0.027749518509394035,0.02784893349418959,0.029736080281088668,0.02791214521528244,0.027230501349002175,0.029900761522413815,0.02904014275224125,0.02890429207805664,0.028034129387704772,0.028647248653471766,0.028689437097174322,0.027961426666627712,0.028934143897866332,0.02842363311442701,0.028176693035328035,0.029441118381006964,0.029208241637963726,0.029616862898594762,0.029450985191656634,0.02857929591395106,0.0317044348916799,0.02965434557715054,0.02908781318446826,0.031854242124646416,0.028971146512062448,0.0027341198753602367,0.0023358634855701814,0.0026698999054023988,0.0020876233056125494,0.0028589918088746486,0.005204815779474932,0.003687903701845757,0.004012708791348628,0.00323721863166029,0.0055166611379026936,0.006453911352579501,0.005749654183988946,0.0059096051544935725,0.005746907123403439,0.005179119182069521,0.00487259056056352,0.005135280711770903,0.006291710388910448,0.005381924160144655,0.004660702714983078,0.007467662662789161,0.005173604712068604,0.0058486571527666485,0.004954545324668189,0.004815224198503988,0.006099521948429007,0.005901080076603726,0.00589258834280591,0.004996141190825144,0.005810348038640538,0.005532468952502547,0.006912458760463778,0.005229676937676877,0.006010022450447914,0.00557922323825718,0.008794831457532874,0.00551625138143221,0.006534774413169425,0.008246770033736136,0.005192415185814421,0.6237139668279774,0.5995278908128625,0.6572548905221745,0.6682836129835349,0.6385051011057846,0.031854410697460415,0.03052315799596824,0.02707999057397032,0.028533766783807913,0.0287567114973923
40,-0.013595740676113148,-0.20909793068140606,-0.08586104281728812,-0.1871542192937917,0.009373328833376755,0.3643288810132858,0.3759222128203629,0.24523914366813795,0.41549164386110143,0.3205553014652907,1249.0,763.0,891.0,779.0,1295.0,177.23450980392158,182.861568627451,175.36901960784314,171.89607843137256,175.7878431372549,9.308490982391529,10.069864494608488,8.152377586777183,9.025995776558949,8.88080308594092,0.012096273998031757,0.01068864186030675,0.012902524294576197,0.007798291433007279,0.01408858800380901,0.013341751046349963,0.012261369688750898,0.012327228331996253,0.014068042066833942,0.015075368663578243,0.031050620934234913,0.02860247081432764,0.02909621566149417,0.029908978244666866,0.02939851847868174,0.03018775003158902,0.029442877542452495,0.02747811423158371,0.027828932270490988,0.02816146766965438,0.0294991787803155,0.029406288039964996,0.02937895685656582,0.02791286379775179,0.02893788758233583,0.031006633985603337,0.028528576328168145,0.02835909223634028,0.02796992078473617,0.028067045934456393,0.030973506352487794,0.029935268093256365,0.02888970550538054,0.02847278508506635,0.02921968822789451,0.030145208221182163,0.031000926224192003,0.02833496778089494,0.029364537964445023,0.028792936952545985,0.0028560566435000324,0.002213493420092497,0.002900367993503904,0.0021422470235213298,0.0029375087698579145,0.00417104476280651,0.0031329715729154755,0.0029713056702136155,0.004369062849849227,0.006305593566904877,0.007147492714455737,0.005155083137078079,0.005658536660837827,0.006163049950742313,0.006745450395353643,0.006172040488936753,0.006909217355905786,0.004533030644266357,0.00482788479974607,0.004425830960020871,0.0061053865913933015,0.005341208947163487,0.005869859503544426,0.004582605700627088,0.005012650619641809,0.008034134219020292,0.005364038310084868,0.0062417712272671705,0.00468278125338003,0.005974132351780029,0.006513887975688099,0.006201602839980919,0.005507466849318963,0.005107017615011551,0.005699680902986633,0.006586174272437663,0.0069861424487548006,0.005497394966542613,0.00562307597971717,0.004699958691993059,0.6270493035921323,0.5988650750633685,0.6654448966873293,0.6732042646401454,0.6421805639832998,0.03240792944044422,0.0324580294707784,0.022752132541778044,0.02423878464361128,0.024847926650741013
50,-0.0871449610102445,-0.24103164576742658,-0.08079788260661386,-0.221400698948507,0.024724332101824006,0.4261652421763742,0.41432110460864235,0.26762414748422836,0.49745566559555376,0.3808147736732408,1103.0,698.0,989.0,767.0,1338.0,177.67450980392158,182.24666666666667,175.77333333333334,171.67568627450981,175.65098039215687,9.109891914469294,8.934657674173941,8.292253605471817,8.7985784843931,8.57293661886604,0.012183953243478702,0.010630534649298876,0.012813982384332135,0.007941996101479634,0.013973459707781096,0.013644599959635415,0.012480950134360803,0.013342158762436747,0.014276701598056864,0.014616763063778909,0.02989492063997999,0.029419282438056808,0.029681376347394938,0.029193453419092272,0.02909977623753772,0.02877697514113213,0.028929477722806747,0.027952013793193915,0.029540525137280123,0.028066100231777597,0.02996509623080671,0.028855017178003525,0.028912722887100447,0.028918251741904218,0.02903470813848802,0.028594626261325022,0.02812542383366927,0.02893268080330019,0.028964975465131333,0.02741727864203186,0.029157466555327596,0.028857170394120748,0.029780890180542807,0.027716324056950268,0.02873932873365914,0.030734465456148004,0.030140662276828642,0.029279747418210603,0.031223151919173783,0.03019101111438686,0.0028005445867834073,0.002283467422810026,0.0025858401231234466,0.0023279254088999102,0.002715276389610082,0.003739121642603715,0.003140071477597557,0.003524305678709861,0.004215722216250356,0.0043709021446919965,0.005540135380789553,0.005666254405035587,0.00562917433867939,0.005266204452406131,0.005154560135676582,0.006620852380117777,0.00634315272747981,0.004709737755654229,0.005843260785653031,0.0055950431847960206,0.006361200868022908,0.0054373868990809015,0.0053371537895024945,0.00543804566325401,0.005762979489773521,0.005807088855741605,0.0047760945570663954,0.00544295382703728,0.006103104197478813,0.0052942391865407334,0.005983014156620487,0.004911775469848393,0.005109253373885739,0.005085523820471502,0.005179778712346798,0.006991423308594417,0.007037174117810615,0.005847172638587882,0.006175764126559365,0.00539325108939208,0.6279830169729467,0.6056192927228007,0.6632925858645503,0.6726292652638665,0.644748303722178,0.027594420116473027,0.026880715347010073,0.024071950363565187,0.023787979882357948,0.025863297677364127
75,-0.07143172507624886,-0.27814217524373147,-0.0748852055471729,-0.27510596679357524,-0.00954127322959554,0.4315609449349468,0.39533753255295623,0.2835679189611803,0.5040580644774845,0.34153654415311385,1130.0,710.0,1005.0,772.0,1350.0,178.2980392156863,182.36274509803923,175.82588235294116,174.02705882352942,178.08549019607844,8.665427811197242,8.280144490003144,8.844959239504266,10.398213568036764,8.861591299969515,0.011460472204903715,0.010417932402263252,0.012304410433454217,0.007499034878920005,0.013735087944212451,0.014235528676903317,0.012450808764053271,0.012610929041986865,0.014988153261287284,0.01527699126164679,0.029652485646561096,0.02918036804422808,0.029237127939522177,0.02917508492606948,0.028631563772327524,0.029363705407581837,0.028421788937308665,0.028433100274493667,0.026798178093366914,0.027985941684777523,0.02927813911059457,0.02866921257183413,0.029409401142458404,0.028940544267629147,0.028564626865466555,0.02899176509217241,0.028378833364387103,0.02827227627764886,0.02813752926975613,0.029029243919964108,0.028900680525342053,0.02832457717739912,0.02858619430933864,0.029652149567062226,0.029615446158618733,0.033445504519628834,0.032234924510396154,0.02934523569037694,0.030691857540335425,0.02967316452372233,0.0025758110062158437,0.002381264398925155,0.0027402889963784993,0.0020185847871036266,0.002814924132250345,0.0037922533095588844,0.0029071431935364335,0.0030323132539061704,0.00423253326606738,0.0039072954251649925,0.0059486180557948775,0.004959228018598521,0.006725690705170703,0.005074841404747035,0.00508880370585094,0.005941645576419558,0.005173400522070319,0.006142558820696622,0.004707789130914388,0.0053394644203090666,0.005895023522785999,0.005653588948667244,0.007888607433814093,0.00594045339466846,0.006717494603415592,0.005807625148286367,0.005584463753523788,0.006274039843474538,0.005891638938915496,0.006136104601433985,0.005549871215884557,0.005553705211018801,0.005167667298498172,0.00575652791158678,0.005789174880747788,0.009389824703432761,0.008846760215991664,0.005914698977727589,0.005838395857338407,0.005870116193177216,0.6240402037102083,0.6026532701084492,0.6614231287895689,0.6662609823797504,0.6368407080082458,0.02735420791668645,0.030594091596359563,0.02973360065158927,0.030153557902796346,0.027131035115494175
100,0.0190474469811068,-0.22964381216476074,-0.08083280183780643,-0.22033852723357678,0.004960429499821285,0.33451493481874417,0.31226538404374604,0.2240353159680009,0.483436734420414,0.3209317140965845,1264.0,571.0,916.0,799.0,1263.0,176.478431372549,184.6478431372549,176.56313725490196,171.41019607843137,176.36705882352942,8.575566157732865,8.11069365493749,8.650153802616998,7.904861292429761,7.971812664148974,0.011630476320746316,0.010585502504368658,0.011921731308080568,0.007397951900518978,0.014015812449977181,0.012743773171412585,0.012493158935123925,0.012302480325529145,0.014202119455418303,0.014945835369055563,0.030865538790978555,0.030439423523571853,0.030320255881183457,0.02928102172133727,0.029099619792701602,0.029451932692146875,0.02937627194884608,0.02806172491584833,0.027915224991893594,0.027253466765039935,0.029397370463061023,0.028333662708245406,0.028824247115130517,0.028854114467599185,0.027974651230963758,0.028479700896190313,0.028738452896969597,0.027801233741540796,0.027163693242895196,0.027695910564049273,0.029477377729917476,0.03147823028731731,0.028749296952997893,0.02879186271122975,0.028846586512268797,0.0317754610964418,0.0324743399222763,0.02997105341946404,0.03079877266148499,0.03007065861617789,0.0026567539164516793,0.0022597801098465744,0.0026535505316020802,0.0021844716837393324,0.0028119600304054603,0.0030961246004332366,0.003345885502970039,0.0027047163145985575,0.003980058787147773,0.004282087282689501,0.006968440404780965,0.007449203224595609,0.006942704618919356,0.006825207615988292,0.006883520354860035,0.006141737880989611,0.006348473303397337,0.005385224024737807,0.005270953181133036,0.00501670923126732,0.004899844731142574,0.004859638343802576,0.005544747648933976,0.0060833719102354935,0.004606072993766072,0.0076363642697939915,0.005825060600143392,0.00538633826326822,0.004972034477194699,0.0048634142901301,0.005399606096176572,0.008488553273927951,0.005508933787679355,0.005885490948046481,0.0051636077039671074,0.010228335978815348,0.008713764597554451,0.006583921270776751,0.005750290571591237,0.006239354948119033,0.6285024473323021,0.5958746183186686,0.6612815549647842,0.6730285783664951,0.6405694904841993,0.02573776648864221,0.02742280707440255,0.02531622637077686,0.022301265190421173,0.023652619877454147
125,-0.04239634060523502,-0.18495213851105277,-0.0997297309153043,-0.12115911562612182,0.020382365107570938,0.35862311553179466,0.3306862809133566,0.2407623745997146,0.3635985534154184,0.27722813672487434,1116.0,712.0,901.0,932.0,1280.0,176.2164705882353,180.75098039215686,177.8329411764706,173.5278431372549,176.4537254901961,9.327957535029908,10.562019058234599,9.676623742515154,8.647708661776369,8.227780201790612,0.011602129733178989,0.010659656275930454,0.012373547354191947,0.007601666207849324,0.01400744614982505,0.012377624310064901,0.011457647290093123,0.012303434680978834,0.014345631846587938,0.014395472072204074,0.030077735914623715,0.0297156485189178,0.029387158012485273,0.030735608893726438,0.02956955053608649,0.02970812910199874,0.029078006877237928,0.028194074382867158,0.029312933732007745,0.02757679371573605,0.03030198614474338,0.028572605310111045,0.02847906590318264,0.02817126054729006,0.028098940054233353,0.028685602864742952,0.028844905285017125,0.02830659724151407,0.028181192251060798,0.028506805678514515,0.028294869203271088,0.03061526691940944,0.030392769984252808,0.029891863760192792,0.02816891384545621,0.031094397363276925,0.03207414914509741,0.028767730607634684,0.03041482537675257,0.029656356907654096,0.002569090116687028,0.002341218290184136,0.0026709251594673987,0.002106686549083703,0.002817245221942475,0.003113338696681385,0.0032834168226634837,0.0029173860966002292,0.004497538193221095,0.0035199819440412373,0.0064916108167502986,0.006372887230019078,0.0054755898891975276,0.007823511490344659,0.005664680888550614,0.006699604744421677,0.005970102309131619,0.005528699149858051,0.006084299992253281,0.005069487967163177,0.00565482770915535,0.005246760268185257,0.006383645076521476,0.005260779402880574,0.005273301843281584,0.006474119955645319,0.00553006891096821,0.00606049459553507,0.004974981204027176,0.005211660343436627,0.004808640392943028,0.006030978361483614,0.006220785799199618,0.00741965908757769,0.005159651832311359,0.007580707332594564,0.007272427752075569,0.0048065111455110375,0.006489246317568455,0.0054610432720846,0.6306331635559278,0.6063091728242477,0.6588922250190922,0.6675960518723119,0.6438427081731157,0.030379590503748558,0.036816206123414026,0.02810960836759156,0.024498649307123248,0.02497387920643718
