,AAPL.O mean ret,MSFT.O mean ret,INTC.O mean ret,AMZN.O mean ret,GS.N mean ret,AAPL.O ret,MSFT.O ret,INTC.O ret,AMZN.O ret,GS.N ret,AAPL.O improvs,MSFT.O improvs,INTC.O improvs,AMZN.O improvs,GS.N improvs,AAPL.O falses,MSFT.O falses,INTC.O falses,AMZN.O falses,GS.N falses,AAPL.O falses,MSFT.O falses,INTC.O falses,AMZN.O falses,GS.N falses,AAPL.O f1 mean,MSFT.O f1 mean,INTC.O f1 mean,AMZN.O f1 mean,GS.N f1 mean,AAPL.O f1 std,MSFT.O f1 std,INTC.O f1 std,AMZN.O f1 std,GS.N f1 std
ma_feat ,-0.15506188100593443,-0.17483081774016618,-0.062387719975393365,-0.12339216262728342,-0.02154701909416317,0.42453389880887943,0.3390219716519825,0.26768311773002423,0.3580277272492804,0.3423489724166265,329.0,294.0,403.0,373.0,447.0,189.87112887112886,193.82217782217782,188.8881118881119,183.56643356643357,189.97002997002997,9.515901198750198,9.816432531849173,9.677162214795649,9.294935834519364,9.264831401547516,0.6027740821829908,0.6126938866283316,0.6569759987007273,0.6811096244953416,0.6322689040349081,0.027332816375908363,0.0278998704175287,0.026623528759629134,0.022443156376661423,0.02457514531482799
sma_feat ,-0.15756397988499898,-0.18342598646816471,-0.05825786580603457,-0.1406949984286338,-0.0023725415266900307,0.4402229114238026,0.35316501726849625,0.2694880528796029,0.3662952651811629,0.340025719911519,357.0,287.0,417.0,343.0,484.0,189.56643356643357,193.5194805194805,188.39760239760238,182.75224775224774,189.92307692307693,9.679040870242885,9.607073962964478,9.355413098615909,8.763706832303175,9.34168490814569,0.6032212925343419,0.6137321392008642,0.6576017488675271,0.6831269867000845,0.6321536452467738,0.0277580453575581,0.026340339888378677,0.025389334719234238,0.02138174016548714,0.025480459283338794
lag_feat ,-0.1468780762373036,-0.20357080124457463,-0.05959443659016076,-0.12082457373877115,-0.03136970077483051,0.4327863582919867,0.35528739925384245,0.2727482203478848,0.3653569190973901,0.345074680571028,356.0,277.0,396.0,368.0,446.0,189.57642357642357,194.01998001998,188.020979020979,182.4975024975025,189.63336663336662,9.588868733922869,9.048845252273926,9.408430232539288,8.771786805220682,9.248915912389103,0.6041701397138173,0.612451652748182,0.6588477866053819,0.6834169092828217,0.6329918208132858,0.027896792787264684,0.02641396656086439,0.025507433747134486,0.021245556492009328,0.02531834933657696
rsi_feat ,-0.17539550737922746,-0.1908263925336685,-0.04747474709003985,-0.1349892459933902,-0.012180498155575968,0.42435383714567393,0.3482933767334494,0.2749123653549601,0.3537463156504917,0.3381187552384505,338.0,284.0,424.0,338.0,475.0,189.88111888111888,194.1088911088911,188.15784215784217,183.69430569430568,189.97702297702298,9.775830048996019,9.687782556866715,9.585252262672116,9.385864773288485,9.382455516999348,0.6028736193695062,0.6121539320507928,0.6580782140904167,0.6809758695064847,0.6316821060757861,0.02769639952768191,0.028549492759059197,0.025817713804377997,0.022668575834572817,0.025974638749952948
MACD_feat,-0.17346459318326862,-0.18997694224840456,-0.06681609928056455,-0.152094693149018,-0.017637832332654913,0.44055054331185484,0.34041768499295794,0.2724928288076983,0.3536615673452503,0.3654998285255,343.0,267.0,393.0,325.0,476.0,189.16083916083917,193.82317682317682,188.00999000999002,183.14085914085913,189.76823176823177,9.285208931149848,9.507349909291346,9.437897016809426,8.829220739178448,9.648327822489758,0.6048638010752428,0.6129517286923195,0.6590487775160276,0.682166303119268,0.6329443882585962,0.027232136251950326,0.02637508050212516,0.025822668006705386,0.021503535028580597,0.026278464287700976
ma_feat sma_feat ,-0.13398786364740273,-0.16242764667017168,-0.05421090374958141,-0.10630929754870101,-0.0068466064966345285,0.4115456187160147,0.34124068736409985,0.27003700849415874,0.36512978316303046,0.34294208781475116,379.0,310.0,421.0,378.0,461.0,189.41758241758242,194.1048951048951,188.6813186813187,182.74525474525475,190.23176823176823,9.28425821212715,9.502840944369522,9.697491462194781,9.278687405018019,9.109348482203867,0.6034095582282085,0.6124643548756462,0.6576332516419774,0.68299184435339,0.6316761432342206,0.02664347168820604,0.027113526257111487,0.025883171047688627,0.022406793739963096,0.025328421542675998
ma_feat lag_feat ,-0.16821476831489862,-0.19550806277362656,-0.06549383049794437,-0.1257801630352863,-0.019671290733602357,0.4441224605525993,0.34300461304578217,0.27298954509251594,0.35794421478143407,0.34234960754077154,348.0,269.0,394.0,361.0,475.0,189.88011988011988,194.44955044955046,188.16483516483515,183.7772227772228,190.49150849150848,9.362137276584571,9.422404273735147,9.237196663371527,9.07399144143969,9.079216806651218,0.6028770606321621,0.6114147160183803,0.6588129887307913,0.680573026369343,0.6312276944889837,0.027191931392376797,0.027227612433501153,0.02509796131966882,0.022246776536743475,0.02454350757858868
ma_feat rsi_feat ,-0.12714163604753995,-0.1795052864601166,-0.0732971621352393,-0.12597726450667054,-0.028277601836786494,0.42215746578350805,0.3265418046520722,0.26158448202380136,0.3635437584079291,0.3302970886138232,380.0,283.0,374.0,328.0,456.0,189.36863136863136,193.80619380619382,189.15284715284716,183.25074925074924,190.32967032967034,9.604841228514664,9.705173960233877,9.527413835118866,9.063667135219719,9.165653756890938,0.6037430888119142,0.6130777281951543,0.6566948596010389,0.681984665639405,0.6313485033650771,0.0275729431115661,0.027214035994452872,0.02573376704339228,0.02180696462771988,0.02550559211093477
ma_feat MACD_feat,-0.13867539922789246,-0.1889769650121123,-0.053914631072786816,-0.14215051389741912,-0.015797224549144125,0.43816494266551304,0.3606179365013802,0.2859320503768388,0.3898698083283575,0.3464011514501601,381.0,289.0,427.0,359.0,471.0,188.56943056943058,193.85214785214785,188.54645354645353,182.6033966033966,189.91908091908093,9.347589238698081,9.577688545892368,9.743412641887327,9.29040087679474,9.29357011887497,0.605698256294662,0.6133193498047524,0.6573620590002889,0.6830394808222615,0.6320673589632949,0.027125862916306705,0.026677197677460563,0.026351283144104704,0.022615659574584487,0.025054942429181028
sma_feat lag_feat ,-0.15830921942980614,-0.19258889400947912,-0.05697257366948545,-0.13519237076583326,-0.027814736433892928,0.4386243202998597,0.3533055076961826,0.28397823923608756,0.3817806502881022,0.3381629882008237,350.0,274.0,416.0,363.0,460.0,189.6083916083916,193.86813186813185,188.24175824175825,183.3936063936064,190.95004995004996,8.940161604271449,9.665432913563334,9.860704564355165,9.445259079608094,9.055136801699987,0.602534610357248,0.6125080376752857,0.6575396946040031,0.6810489335211013,0.629463116050125,0.026027128675874468,0.02722184287012359,0.026791833247355994,0.023225276569832465,0.025379743038659322
