	AAPL.O mean ret	MSFT.O mean ret	INTC.O mean ret	AMZN.O mean ret	GS.N mean ret	AAPL.O ret	MSFT.O ret	INTC.O ret	AMZN.O ret	GS.N ret	AAPL.O improvs	MSFT.O improvs	INTC.O improvs	AMZN.O improvs	GS.N improvs	AAPL.O falses	MSFT.O falses	INTC.O falses	AMZN.O falses	GS.N falses	AAPL.O falses	MSFT.O falses	INTC.O falses	AMZN.O falses	GS.N falses	AAPL.O SMA mean imp	MSFT.O SMA mean imp	INTC.O SMA mean imp	AMZN.O SMA mean imp	GS.N SMA mean imp	AAPL.O SMA trade mean imp	MSFT.O SMA trade mean imp	INTC.O SMA trade mean imp	AMZN.O SMA trade mean imp	GS.N SMA trade mean imp	AAPL.O lag_1 mean imp	AAPL.O lag_2 mean imp	AAPL.O lag_3 mean imp	AAPL.O lag_4 mean imp	AAPL.O lag_5 mean imp	MSFT.O lag_1 mean imp	MSFT.O lag_2 mean imp	MSFT.O lag_3 mean imp	MSFT.O lag_4 mean imp	MSFT.O lag_5 mean imp	INTC.O lag_1 mean imp	INTC.O lag_2 mean imp	INTC.O lag_3 mean imp	INTC.O lag_4 mean imp	INTC.O lag_5 mean imp	AMZN.O lag_1 mean imp	AMZN.O lag_2 mean imp	AMZN.O lag_3 mean imp	AMZN.O lag_4 mean imp	AMZN.O lag_5 mean imp	GS.N lag_1 mean imp	GS.N lag_2 mean imp	GS.N lag_3 mean imp	GS.N lag_4 mean imp	GS.N lag_5 mean imp	AAPL.O digi-rsi mean imp	MSFT.O digi-rsi mean imp	INTC.O digi-rsi mean imp	AMZN.O digi-rsi mean imp	GS.N digi-rsi mean imp	AAPL.O SMA	MSFT.O SMA	INTC.O SMA	AMZN.O SMA	GS.N SMA	AAPL.O SMA trade	MSFT.O SMA trade	INTC.O SMA trade	AMZN.O SMA trade	GS.N SMA trade	AAPL.O lag_1	AAPL.O lag_2	AAPL.O lag_3	AAPL.O lag_4	AAPL.O lag_5	MSFT.O lag_1	MSFT.O lag_2	MSFT.O lag_3	MSFT.O lag_4	MSFT.O lag_5	INTC.O lag_1	INTC.O lag_2	INTC.O lag_3	INTC.O lag_4	INTC.O lag_5	AMZN.O lag_1	AMZN.O lag_2	AMZN.O lag_3	AMZN.O lag_4	AMZN.O lag_5	GS.N lag_1	GS.N lag_2	GS.N lag_3	GS.N lag_4	GS.N lag_5	AAPL.O digi-rsi	MSFT.O digi-rsi	INTC.O digi-rsi	AMZN.O digi-rsi	GS.N digi-rsi	AAPL.O f1 mean	MSFT.O f1 mean	INTC.O f1 mean	AMZN.O f1 mean	GS.N f1 mean	AAPL.O f1 std	MSFT.O f1 std	INTC.O f1 std	AMZN.O f1 std	GS.N f1 std
3 and 5	-0.09754059201418429	-0.12839492756910173	-0.07691787918337295	-0.0011432189352960887	-0.0378786841148534	0.367270666525152	0.33272517383208045	0.22054725540817827	0.37201719931128757	0.26580058739030255	591.0	562.0	640.0	657.0	681.0	178.425625	179.815625	176.214375	171.276875	179.226875	7.830408061901039	9.106163145853403	8.688460692356674	8.824547332959613	8.522443767149639	0.014131158469076225	0.013300369320481615	0.015189981048470682	0.015935182588734154	0.012264907265326554	0.012067275772047616	0.0124970862128367	0.012110540925496158	0.012858449126238186	0.011497867881266414	0.030938410844714957	0.030277787895522663	0.028247916376405207	0.028268148390602307	0.02924798983197217	0.028471247286887224	0.028897999027626447	0.02893019935394782	0.028344155614183127	0.028252507791757083	0.027289254997619312	0.03206294855646508	0.029872632186012386	0.03045750901345533	0.028231279308375636	0.028450192984569588	0.026426510146023787	0.0287382934804951	0.029694432131597562	0.0288724247548741	0.02865269031114138	0.029253852491494002	0.02898980740545376	0.02750547136846857	0.028659367380192	0.029020748663910027	0.0287892374484449	0.028967526599710663	0.029122749078295023	0.029213890669808475	0.003166697258384943	0.003354218193682707	0.003061116483900006	0.004338240478632782	0.0025410341877706846	0.0028781590471677705	0.0034367492612620686	0.0026203746928654447	0.0028293684755287623	0.002674238671317359	0.006214302722691283	0.004387134123432366	0.004430687059100144	0.005652905242241514	0.004535835945134148	0.006334200010242338	0.005582938001459305	0.005190092718714834	0.004553417632131801	0.005286809843347888	0.00532313302826721	0.008873047660712528	0.0050025369588099595	0.0055511590881672694	0.004444988790345203	0.004126810499810356	0.0047824508724840205	0.005069251253427853	0.006451052263229533	0.005174369578478038	0.00402777114110051	0.0048637984506457186	0.00491128505100961	0.004440692650661602	0.004333565931094179	0.005428138044215075	0.004386800279740113	0.005245614880808914	0.004204467903531423	0.005160082097094039	0.6347067000341541	0.6145667338071944	0.6687421511454013	0.6770808904743206	0.6433369371398336	0.028183254922244237	0.03239458244958556	0.02323502916792863	0.021317798282485995	0.02468299775387133
3 and 10	-0.21400533656442214	-0.1381807808150628	-0.04993762659495642	-0.13566691996553554	-0.04199696946349487	0.3562734275688957	0.3846664447177683	0.19952908660136806	0.34621582914422916	0.28591199353357266	419.0	604.0	676.0	491.0	764.0	179.54625	182.04	177.075	174.9175	177.5775	9.482368269847086	9.668988097612388	8.679801947691942	7.137929498352598	9.088901134207141	0.014901788407913667	0.014965844423901243	0.015011733572380517	0.01444212335259053	0.012353247413778719	0.01054566053002915	0.010718578887902093	0.011807457684495471	0.012203355118402403	0.012014081462093056	0.029658996775092487	0.029550348031984402	0.030244998364310445	0.029820436432720417	0.029382292964568305	0.028639739843822856	0.029346905581211245	0.028689030104361343	0.02872694919179377	0.028944519722176404	0.029360155189997635	0.030375069461763878	0.030086094798909224	0.027766379322310852	0.030330025219272284	0.028871377664506627	0.028219642689106105	0.027389813074084515	0.028952787874378553	0.02997702930564521	0.027691842239808216	0.03154443606202556	0.029535193712649378	0.02792383978800834	0.0285613666675606	0.027526424842149885	0.028419210325607517	0.02752579898413327	0.029543635473365068	0.02843178943918883	0.004011322040527217	0.004803488456826375	0.003424639748447777	0.004899799142097903	0.0029804739158492527	0.0023785104572917413	0.0023068346023052545	0.0027241488776832785	0.003711708180008208	0.0037065693178297996	0.005588762934055241	0.005922221932258	0.005296360004953077	0.005524256499032126	0.005365971130476634	0.005007729375846128	0.005020376340386754	0.005633161521717605	0.005582627554941991	0.005205888966414989	0.0053452377439616615	0.007182375604996611	0.0063245608886089094	0.004794812985419038	0.006030348938201233	0.004715417045848427	0.004800507460526343	0.0048822629079756825	0.005510451069732437	0.0066615301179606765	0.004553462940981151	0.007014152231451672	0.005983267382433956	0.004380137630672139	0.005621060437592752	0.004908293091993991	0.0050716031950400284	0.00492067112799156	0.0060291342622478174	0.004979608387289546	0.6308081658491284	0.6077636850404664	0.6652218563342213	0.6686511080203148	0.645473341760948	0.02072729127120275	0.021042883036125497	0.024123816920336133	0.01674290564685041	0.025435237044016155
3 and 20	-0.15169534237239093	-0.16720518065778087	-0.12606024703260207	-0.08630814736336184	-0.04434494188054901	0.40930068335957176	0.28414314344014635	0.2333434997760761	0.2967237979081563	0.21904749431186082	500.0	412.0	505.0	543.0	626.0	177.05375	178.22125	172.973125	173.750625	177.54625	8.43113506365177	8.539708869729536	8.404108869359982	10.14268127020507	7.279662208074268	0.01531706210569421	0.014170217969899389	0.013676440200471858	0.014651748877296531	0.011204267993177386	0.012429620992499698	0.012347201464913436	0.01193074582401945	0.01156151379221793	0.010771034886938969	0.029506788060526704	0.02942565255176623	0.029436910586316447	0.03155982453272158	0.02947609828524373	0.02896807282899173	0.02881321205933759	0.028432576220820068	0.030141459571493813	0.030009620205646584	0.02966215950216486	0.029628260346134572	0.02809652528087256	0.02788469373726897	0.031019589768788724	0.027181758106733317	0.02938720929279781	0.029612631593933462	0.029235022094167392	0.028215959072948316	0.030178156045487032	0.030199054613288232	0.0287087590749699	0.028281374488923906	0.02960884044783782	0.027937928430029683	0.028135532763047397	0.026525680849971076	0.02874977837412285	0.027921017106518686	0.004990810035473556	0.0033587413226265784	0.002702316947945899	0.003942459577651526	0.0026045160706019313	0.0030646965758165945	0.0032668734864043448	0.002676692863510186	0.002517484848238034	0.0024095378877730515	0.00456945983414841	0.004821747545682308	0.005652500331482557	0.005776083834975485	0.004654689794139136	0.005167846569904521	0.005663221080571626	0.004584050448509762	0.004134745235865927	0.005777750126251294	0.0054210015095678375	0.004613836326328932	0.0045930377726762965	0.004960732965256816	0.00502129617627313	0.005001662334159258	0.00518670152643538	0.006279856774093866	0.00459503345696024	0.005052255453720717	0.005761414634664256	0.005820102322994714	0.004421675623936982	0.004795293202183178	0.005255780214345101	0.0047197705439962455	0.004900158824480163	0.004622290239591411	0.004499047896401823	0.004989341454486377	0.6398389265495341	0.6142731787419892	0.6734532447874396	0.6725251262428901	0.6474955356081746	0.023721291105225164	0.026515715973795463	0.022255744386507913	0.028782750283346	0.02003594051341318
3 and 30	-0.09278202192261688	-0.11583229179466882	-0.05374266027263916	0.008135356177872888	-0.04819909004784324	0.26312352004876954	0.3563047614492602	0.20213566658780624	0.40637042208918484	0.30708173918849435	526.0	615.0	634.0	782.0	742.0	182.66	183.085625	176.6325	171.46875	179.520625	9.219477980552703	9.0276231421467	8.542573000619832	10.629540930832816	10.725913848096948	0.014218306901511315	0.014467454504533359	0.014933074664740696	0.012452236710449635	0.012290321972060368	0.012794767795507039	0.011704253310604958	0.011774370407020016	0.01198055973910586	0.011007694705554905	0.029764889632210637	0.02817176287029226	0.03157055230494974	0.02983226015404301	0.029595806469143535	0.02915485035928607	0.028498818185789948	0.029078026398142796	0.02923167376488184	0.029557105719815534	0.029477237274375033	0.029157951209075522	0.03204723612395278	0.02851471415666326	0.028625705184678933	0.02799793671652464	0.029552258098932097	0.029624357917244413	0.02779129303993747	0.027536256699641264	0.028655926304461437	0.028984122706156842	0.028746125516664306	0.029808764855127193	0.02841978401091299	0.029216812797461567	0.027883268926708032	0.030509151949703512	0.028875990187079724	0.026496319755055567	0.0033236604082449196	0.00424106209807263	0.004655819093739708	0.0031652819319061224	0.0027759097302986584	0.0030365117747207524	0.0026707421403776316	0.0027947530214858713	0.003298799382463496	0.0025154699847386073	0.006061267557958494	0.0038821028100046143	0.0055166134931671435	0.005324520073424865	0.005295290868305468	0.004751211873371336	0.004579492665110134	0.005057456417861529	0.005314091132851642	0.00592338520047874	0.005260940221415719	0.005188523160717639	0.006267755796533905	0.004645864606413393	0.004711204904606295	0.004654208504841051	0.0058976026160049945	0.00527178020863024	0.004856087242496752	0.005449212917177983	0.005023677499639014	0.004522687746229651	0.00438650758733656	0.005272629803973056	0.00433862512147023	0.005421059838003845	0.0047206555101683935	0.0076478250357433055	0.004718610039662199	0.003750954717839061	0.616502720680704	0.5987678734107331	0.6647072968363446	0.6770446890185872	0.6409356021229757	0.023480202620392184	0.029914978255617602	0.025535892875673167	0.026077815979482336	0.028945033383892194
3 and 40	-0.14026249869236057	-0.04739626495645343	-0.036943980219313347	-0.06287119878516713	0.03207550663979694	0.2839231738686533	0.3279832968870612	0.21939514108248892	0.2874880545758374	0.2244299815378096	493.0	731.0	698.0	607.0	850.0	178.520625	178.89625	175.084375	170.25	176.636875	9.394731913508968	9.86401529226581	7.715209565917764	9.36281415657609	8.810066743895586	0.014186386959268054	0.01345385287035836	0.016788616195990168	0.013581482918786757	0.012363653058791356	0.011384193646821082	0.011076512596247215	0.012157933901881557	0.012398350613264912	0.011214862360677631	0.02962934421760601	0.029670000767052333	0.030587579752488714	0.03174993364933451	0.027719564209404433	0.02816761960851076	0.02814635926922331	0.028437543169922114	0.03040512665970069	0.02879085694596657	0.0290151336356	0.030048540762212778	0.02834962911762546	0.030103121828188976	0.02916111749684153	0.028533004164355526	0.027686685574132324	0.027960949948863414	0.028132329284117095	0.02772406643112844	0.03001055456922332	0.03046328841249479	0.02915294821288518	0.029487452923118745	0.029738313088509202	0.027906906825990604	0.02852318140004931	0.028353923465880324	0.02983232803727622	0.027906751450210265	0.0036375765564311564	0.0032652445281216944	0.005190483896772454	0.0032738076920042374	0.00338968263984995	0.002608312139975718	0.0025794895745830547	0.002893684775361609	0.003331391603980848	0.002429244996149451	0.006011496513033575	0.0051973948959736435	0.004921617966141582	0.007112631125472433	0.004336566617339645	0.004420362559328232	0.004458958149569514	0.005000112185747902	0.007098785219721437	0.005089145837268923	0.0048805591648535505	0.005500714800030449	0.004411304416079912	0.005029712479715957	0.004970071107687173	0.004386168519529271	0.004196828323723246	0.004895359005633537	0.004986533503214178	0.004403412869618558	0.005220455099853652	0.0056986759842011184	0.004050940980175366	0.004804219354980954	0.006172311970681227	0.004888060097648244	0.005192688857526984	0.0041396611561946035	0.004729258232067297	0.004702658094440261	0.6342018953337544	0.6126437480327214	0.6701083500014677	0.6828650154138802	0.6478138387857197	0.023363159607834773	0.027566951999877704	0.021277802191525155	0.021627746854171168	0.022633667383360218
3 and 50	-0.12049529895663248	-0.08438017194574701	-0.02281934648237649	-0.04673765402040279	-0.016946805316238097	0.3344796122603328	0.3053103178823251	0.21922897053642312	0.3632077552057293	0.2711679499608817	585.0	565.0	752.0	688.0	730.0	179.150625	178.886875	178.28625	170.624375	178.459375	9.52744297886097	9.426670491601108	8.010737693027508	10.02115490227351	10.015914771118679	0.014583644992792178	0.013757747968394563	0.014578055635445135	0.01428702772418695	0.012952375624437136	0.014573558351100656	0.010998779547804457	0.010606796996847469	0.011284750227580737	0.011121277240712567	0.02907858566544511	0.029677116024667143	0.02727501779630166	0.029140709886617273	0.030651725861977678	0.028039248234336185	0.028431440555744484	0.030367955340382374	0.03025588221192984	0.02900872411805815	0.028534184821131542	0.02982342068281364	0.02918882222738311	0.030416433988856316	0.029179162441658954	0.02777347342103119	0.030480479352423626	0.028517859712245946	0.028791940583674264	0.027712065716617492	0.02960098010463823	0.02935394470711674	0.02926064382915861	0.030318792367174323	0.030106770791132456	0.02780564413201761	0.02868987106404013	0.026290440444886966	0.028887287547371	0.028597362059866297	0.003234780251877862	0.0033328782087641857	0.003957590002657176	0.0037767581736692186	0.004617179902411042	0.004597740991253306	0.002155465672013138	0.0024166679356224796	0.002619401835333332	0.002654020818847198	0.005565440322625113	0.005777041658952951	0.0042981940089132495	0.005667703694777275	0.006263987670780356	0.004316489112804679	0.004256339786889658	0.005352894567963416	0.006217071763102918	0.006243088675602233	0.005403233565068173	0.005003723839700049	0.005323422383099072	0.004977370088269409	0.004651503459366155	0.00430954511553471	0.006859989216270184	0.004288105452319857	0.006122561799866459	0.004752966760775594	0.0048707656982453175	0.004972995050658889	0.0046363290335949565	0.006234022992833741	0.004982526421344547	0.004500403422828359	0.005636086751372633	0.004021794379874512	0.005438315197193935	0.006993945798348931	0.6345287667414548	0.6166034811799499	0.6614799051616632	0.679859379299533	0.6434915891627688	0.026781842014952033	0.027038209657586573	0.02463311640289664	0.025024234852297093	0.024096291991234683
3 and 75	-0.14718916934726103	-0.20198345167806145	-0.09768947244892125	-0.2892703947299583	-0.08805167959220313	0.3911686414442666	0.2503003556590028	0.225584421736729	0.4061095170300567	0.257095744294647	588.0	333.0	550.0	357.0	566.0	179.6325	184.70125	180.06625	175.11625	179.4025	8.027232807237429	8.131778838570607	7.236510925092326	8.81142790506049	7.224826473589742	0.016602442199088362	0.0145292291941667	0.0141482565539166	0.014207320199304811	0.013169261706284454	0.012628349862406992	0.012291162576722857	0.012340583907191702	0.01235238306286937	0.012126828717528633	0.029351882824898038	0.028705391940876224	0.03030908876504817	0.030180107311046665	0.02877517324323338	0.02801678880717705	0.028929938449466307	0.029438082285077428	0.027767482786198804	0.027699430627669268	0.027717311447588665	0.028802127528164648	0.030700241013770387	0.028387258425070856	0.030074086070997666	0.02860322096548646	0.026912570805993533	0.028460409983232703	0.02855758988133393	0.02835075359050777	0.029864817980858764	0.03113921214061919	0.029246465177374323	0.030122325707283838	0.029195976778665783	0.02710476927646832	0.028696342808511747	0.028242937688708006	0.029372173328870047	0.02688022438032139	0.0064958766085060834	0.004150951027242552	0.0033645105115886094	0.004460736309719811	0.002844377135415061	0.0033603827270193122	0.003562760087946607	0.0027467992594750043	0.0032409322899825117	0.00301061895214997	0.004310158984960025	0.005558834904561047	0.006755989539144273	0.004924030062840899	0.005223346925516052	0.004690474124918585	0.005265373491766866	0.006198693727912427	0.0054675792870143795	0.004052034658640789	0.004744335561232345	0.004240595752750554	0.005866690986140305	0.005631289188335319	0.006037618719057267	0.005253984134415772	0.004547376664654792	0.00467287635797214	0.004523914202378755	0.005332075029415166	0.005485463575032281	0.008681135801112516	0.005143203191713359	0.006316199338929705	0.005543839754969822	0.004506077943882159	0.0057905504573058575	0.0055334430463955765	0.005133384244778362	0.004625406010563981	0.6326030166469166	0.600156547174757	0.6560872303424936	0.6675251666999249	0.6422035022034744	0.02433625638603693	0.024107596003838615	0.018346700867804128	0.021779732902081468	0.02055756391484875
3 and 100	-0.14108474498754706	0.014500721254618244	-0.036013730453148554	-0.1259429535206836	0.0707430880827946	0.2418521215284192	0.3354072198267881	0.23383394828874096	0.25989010405602586	0.26201613172745014	400.0	886.0	734.0	487.0	924.0	180.12875	181.248125	174.54	172.990625	174.85375	7.792071044945668	6.9914847866226575	8.281078442002675	8.380971753865255	9.047224359182112	0.014642343753602998	0.013143285575929564	0.013869683979386888	0.01468129742405991	0.013739918300214125	0.011593706369338928	0.012861432802034016	0.011901607383076041	0.011846371150527009	0.01134874757339266	0.028670551117163896	0.030931390497768406	0.02939069611053987	0.03013649736768433	0.029757684102308845	0.029536772082192467	0.02909231009512643	0.027618047179875798	0.028226631806505274	0.02813606401255497	0.02939742707561566	0.029754649605665207	0.029567141175025156	0.028754463651007547	0.028142098522868243	0.029027808690426024	0.02887062223138233	0.027270855699059404	0.029379965167657934	0.028873902552073217	0.029370470986732046	0.0293586109773197	0.028964333477463033	0.028674051853821637	0.029790461661940087	0.028255062658841413	0.028615502661863003	0.028654611231329414	0.02801204758476352	0.03014087385186335	0.003909076719706396	0.0026328338264912875	0.0029675804331582498	0.003293460640040262	0.0035242487793052044	0.002649881916968645	0.004516272044103631	0.002692228858464952	0.002969563074143753	0.0026223757938064946	0.005811530642508316	0.0067223383936566156	0.005078786714601574	0.008695892988150681	0.0062892958212940825	0.007193509529115636	0.005588317973903603	0.0043846310663925745	0.004629039774874884	0.005132540524736835	0.005153781989545609	0.004963140761877503	0.004156955755449779	0.004983602210953585	0.004514994635305187	0.005848818521610196	0.004233417885721866	0.00484356700596237	0.005155383861647155	0.005485740703231236	0.005237483154665616	0.005256613285046058	0.004897233791218272	0.004992998506170541	0.004695633053694267	0.005754393988953688	0.0053105995938544604	0.005263757549612247	0.005162971606981798	0.005797489697719535	0.630497020208149	0.6104401500314147	0.6703644461533566	0.6740702185695521	0.6512712813636456	0.022553530493204535	0.019830769678977653	0.02119511506025388	0.02236699014770968	0.025726407591018918
3 and 125	-0.1934990399425645	-0.142416894200899	-0.11984578854562457	-0.09166896460871897	-0.0007760322354479543	0.3452850461386293	0.311807982207284	0.2627070998875789	0.3356217791119732	0.3064614819096431	407.0	518.0	524.0	582.0	808.0	179.0175	182.91125	180.396875	171.910625	179.15875	10.288627394290105	8.071188790556691	7.62459502302687	6.877659557217888	11.173644432041113	0.014908916304284781	0.01393835765492462	0.015078216467868262	0.015116355028183336	0.01617234220662914	0.011768234343276913	0.0124687056145108	0.012144011448465967	0.011480834838559701	0.011220936741174367	0.0303620793676371	0.030094402057057046	0.028546732856371215	0.028677303404852576	0.02889192236281814	0.027758194790081858	0.02883684818267758	0.02904050930253045	0.02826246907689465	0.030212253834133937	0.03094522068736154	0.029222049140839357	0.027891953091860534	0.029540103141986514	0.02839189739122491	0.02723125854420822	0.02972214455254961	0.029595430887664486	0.027711127053807877	0.02622973587713797	0.029039766842908148	0.028617004955790275	0.030354517024875915	0.03006781524093276	0.029703351743168533	0.02817394905996645	0.026888789908676866	0.02854571226950462	0.028168364572707084	0.028980182129895872	0.0039670197938014564	0.0035749305720086254	0.003535506550793802	0.003661123948766715	0.004303519862811842	0.002554376887453447	0.003399576751757494	0.002813151618805018	0.00247939885641346	0.0026798490344477673	0.005110001846388423	0.00556543997050051	0.004549709622196896	0.005112350801497595	0.004949004319784592	0.004356630604376606	0.004960234164192796	0.005962675784864815	0.004433653047809934	0.006501885614926488	0.008407117758421616	0.005630925032156837	0.004545447192221607	0.004630081590678946	0.005712855983812475	0.00411508664830704	0.005446229347926616	0.0056457426540980505	0.004895428948006138	0.004151080746682682	0.005442328043599965	0.005378418618634453	0.004893952296922259	0.004653143309024935	0.006388815715700617	0.0042187830923550934	0.004084977710627509	0.004996344781761883	0.0038955660499045545	0.004100854154279689	0.6330435383193265	0.6097309687624461	0.6577918437989247	0.6777899837007213	0.6456377622570102	0.02818478884632614	0.02235171560560371	0.01957720144312801	0.017410029812817758	0.03146364648548798
3 and 150	-0.09737734262882781	-0.10036993699368675	-0.06141155878979399	-0.008214555997059541	0.0008421513867343089	0.21924587244541183	0.3304909537034377	0.19981319349327317	0.336305555584732	0.2528407735003096	490.0	581.0	552.0	748.0	782.0	178.750625	182.68375	177.41125	174.771875	180.49625	8.159046720450354	8.840607085830065	8.526213029850586	6.441235512788463	7.781248507161703	0.014128920188961365	0.012583902590299874	0.013318245350287288	0.014148825189832933	0.014454585235466211	0.01197884246273847	0.012320340153300618	0.011996708457300014	0.012324122585250225	0.01196700047118199	0.03050875368864933	0.030165702544643472	0.028346860771232087	0.03127052039000023	0.027562884245659055	0.029695317723672753	0.027933194832289728	0.02751748158892802	0.028622722758745625	0.027167930301404943	0.03114348797442181	0.030616971181628653	0.028711162738230663	0.031670536933831046	0.02743498896561024	0.027596398057873377	0.031106185562455903	0.029226629657318447	0.029554856646802703	0.028028476873399166	0.02872437189313172	0.02903985378087767	0.029279403320302745	0.030473969813251435	0.027460054635704133	0.029742504951358863	0.027686341738657153	0.028057365854812732	0.029258804244198182	0.02717477364628938	0.002824747323527736	0.0026040994762141904	0.002879244499779889	0.00416438112113439	0.003464275304117382	0.0029572145100703476	0.003044031412833712	0.0026739462024355032	0.003051999503623577	0.0025378143427794175	0.0075305545102148305	0.005246869730888734	0.004279692947307761	0.006547479171578086	0.004280376578250854	0.005495086100188467	0.004003486281123464	0.00482761463379323	0.004360255437518075	0.004315879292223488	0.005141128150322969	0.005654319921649388	0.006315506147080137	0.00581589420744108	0.004888614828026754	0.004229628277051363	0.006537597393659803	0.005125269704616472	0.0049096400218595695	0.004498652836553442	0.004957229569323993	0.0056660284965697316	0.004742410377760352	0.006807038790576528	0.0044232263895076455	0.005889886223815491	0.005300480631111501	0.004413073648249177	0.004587373167952876	0.004877719163952192	0.6331230953482215	0.6114136450793666	0.6644287177221281	0.668067788985375	0.6357493257966419	0.022389569208279326	0.024188084173930938	0.021434498811976153	0.015345761027653409	0.021858771772792027
